Token,PoS,Lemma
Erste,ADJ,erster
Entscheidung,NOUN,Entscheidung
im,ADP,in
Jugenddemokratiefonds,NOUN,Jugenddemokratiefonds
2014,NUM,2014
in,ADP,in
Marzahn-Hellersdorf,PROPN,Marzahn-Hellersdorf
"
",SPACE,"
"
Der,DET,der
große,ADJ,groß
Saal,NOUN,Saal
der,DET,der
Jugendfreizeiteinrichtung,NOUN,Jugendfreizeiteinrichtung
war,AUX,sein
mit,ADP,mit
Publikum,NOUN,Publikum
gut,ADV,gut
gefüllt,VERB,füllen
",",PUNCT,--
als,SCONJ,als
am,ADP,an
8.April,NOUN,8.April
die,DET,der
Präsentation,NOUN,Präsentation
und,CCONJ,und
Entscheidung,NOUN,Entscheidung
im,ADP,in
bezirklichen,ADJ,bezirklich
Jugenddemokratiefonds,NOUN,Jugenddemokratiefonds
stattfand,VERB,stattfinden
.,PUNCT,--
Moderiert,VERB,moderiert
und,CCONJ,und
organisiert,VERB,organisieren
vom,ADP,von
Kinder-,X,Kind
und,CCONJ,und
Jugendbüro,NOUN,Jugendbüro
im,ADP,in
HVD,PROPN,HVD
",",PUNCT,--
Berlin-Brandenburg,PROPN,Berlin-Brandenburg
e.V.,PROPN,e.V.
standen,VERB,stehen
6000,NUM,6000
Euro,NOUN,Euro
für,ADP,für
die,DET,der
erste,ADJ,erster
Ausschüttung,NOUN,Ausschüttung
2014,NUM,2014
zur,ADP,zu
Verfügung,NOUN,Verfügung
.,PUNCT,--
Elf,NUM,elf
Projekte,NOUN,Projekt
aus,ADP,aus
Jugendklubs,NOUN,Jugendklub
und,CCONJ,und
Schulen,NOUN,Schule
des,DET,der
Bezirks,NOUN,Bezirk
nutzen,VERB,nutzen
diese,DET,dieser
Chance,NOUN,Chance
",",PUNCT,--
Geld,NOUN,Geld
für,ADP,für
die,DET,der
Umsetzung,NOUN,Umsetzung
ihrer,DET,ihr
Vorhaben,NOUN,Vorhaben
zu,PART,zu
erhalten,VERB,erhalten
und,CCONJ,und
dabei,ADV,dabei
selbst,ADV,selbst
über,ADP,über
die,DET,der
Verteilung,NOUN,Verteilung
des,DET,der
Fonds,NOUN,Fonds
zu,PART,zu
entscheiden,VERB,entscheiden
.,PUNCT,--
Vorbereitet,VERB,Vorbereitet
hatte,AUX,haben
die,DET,der
Jugendjury,NOUN,Jugendjury
die,DET,der
Entscheidung,NOUN,Entscheidung
auf,ADP,auf
einer,DET,ein
vorangegangenen,ADJ,vorangegangen
Sitzung,NOUN,Sitzung
",",PUNCT,--
auf,ADP,auf
der,PRON,der
sie,PRON,sie
die,DET,der
Projekte,NOUN,Projekt
kennengelernt,VERB,kennenlernen
",",PUNCT,--
Finanzpläne,NOUN,Finanzplan
erläutert,VERB,erläutern
sowie,CCONJ,sowie
Kriterien,NOUN,Kriterium
der,DET,der
Bewertung,NOUN,Bewertung
und,CCONJ,und
den,DET,der
Modus,NOUN,Modus
zur,ADP,zu
Verteilung,NOUN,Verteilung
des,DET,der
Geldes,NOUN,Geld
erarbeitet,VERB,erarbeiten
und,CCONJ,und
abgestimmt,VERB,abstimmen
hatten,AUX,haben
.,PUNCT,--
Entsprechend,ADV,entsprechend
dem,DET,der
Beschluss,NOUN,Beschluss
der,DET,der
Jury,NOUN,Jury
erhielten,VERB,erhalten
die,DET,der
drei,NUM,drei
erstplatzierten,ADJ,erstplatziert
Projekte,NOUN,Projekt
",",PUNCT,--
die,DET,der
beantragte,ADJ,beantragt
Summe,NOUN,Summe
und,CCONJ,und
die,DET,der
Restsumme,NOUN,Restsumme
wurde,AUX,werden
auf,ADP,auf
die,DET,der
nachfolgend,ADV,nachfolgend
Platzierten,NOUN,Platziert
aufgeteilt,VERB,aufteilen
.,PUNCT,--
Als,ADP,als
Sieger,NOUN,Sieger
gekürt,VERB,küren
wurden,AUX,werden
folgende,ADJ,folgend
Projekte,NOUN,Projekt
:,PUNCT,--
-,PUNCT,--
Tanzevent,NOUN,Tanzevent
„,PUNCT,--
5,NUM,5
Elemente,NOUN,Element
für,ADP,für
Jung,NOUN,Jung
und,CCONJ,und
Alt,NOUN,Alt
“,PUNCT,--
der,DET,der
JfE,NOUN,JfE
Anna,PROPN,Anna
Landsberger,PROPN,Landsberger
des,DET,der
Roten,ADJ,rot
Baums,PROPN,Baum
UG,PROPN,UG
",",PUNCT,--
1.000,NUM,1.000
Euro,NOUN,Euro
-,PUNCT,--
das,DET,der
Filmprojekt,NOUN,Filmprojekt
„,PUNCT,--
Readyup,PROPN,Readyup
“,PUNCT,--
des,DET,der
RayzeeParkour,PROPN,RayzeeParkour
Teams,PROPN,Team
",",PUNCT,--
1.000,NUM,1.000
Euro,NOUN,Euro
-,PUNCT,--
das,DET,der
inklusive,ADP,inklusive
Sport-,X,Sport
und,CCONJ,und
