Token,PoS,Lemma
Die,DET,der
kulturellen,ADJ,kulturell
Höhepunkte,NOUN,Höhepunkte
in,ADP,in
Mitte,NOUN,Mitte
"
",SPACE,"
"
Die,DET,der
Bezirksbürgermeisterin,NOUN,Bezirksbürgermeisterin
von,ADP,von
Mitte,NOUN,Mitte
",",PUNCT,--
Stefanie,PROPN,Stefanie
Remlinger,PROPN,Remlinger
",",PUNCT,--
informiert,VERB,informieren
:,PUNCT,--
Ausstellungseröffnung,NOUN,Ausstellungseröffnung
in,ADP,in
der,DET,der
Klosterruine,NOUN,Klosterruine
Berlin,PROPN,Berlin
Die,DET,der
Klosterruine,ADJ,Klosterruine
Berlin,PROPN,Berlin
lädt,VERB,laden
am,ADP,an
Samstag,NOUN,Samstag
",",PUNCT,--
den,DET,der
24.6.2023,NUM,24.6.2023
um,ADP,um
18,NUM,18
Uhr,NOUN,Uhr
zur,ADP,zu
Eröffnung,NOUN,Eröffnung
der,DET,der
Ausstellung,NOUN,Ausstellung
„,PUNCT,--
Out,X,Out
of,PROPN,of
Season,PROPN,Season
“,PUNCT,--
der,DET,der
Künstlerin,NOUN,Künstlerin
Shirin,NOUN,Shirin
Sabahi,PROPN,Sabahi
ein,ADV,ein
.,PUNCT,--
Die,DET,der
Künstlerin,NOUN,Künstlerin
und,CCONJ,und
Filmemacherin,NOUN,Filmemacherin
knüpft,VERB,knüpfen
an,ADP,an
ihre,DET,ihr
Auseinandersetzung,NOUN,Auseinandersetzung
mit,ADP,mit
materiellen,ADJ,materiell
Infrastrukturen,NOUN,Infrastruktur
im,ADP,in
öffentlichen,ADJ,öffentlich
Raum,NOUN,Raum
an,ADP,an
–,PUNCT,--
wie,ADP,wie
Parks,NOUN,Park
",",PUNCT,--
botanische,ADJ,botanisch
Gärten,NOUN,Garten
",",PUNCT,--
Schwimmbäder,NOUN,Schwimmbäder
oder,CCONJ,oder
Freizeitanlagen,NOUN,Freizeitanlag
.,PUNCT,--
Durch,ADP,durch
die,DET,der
Verwendung,NOUN,Verwendung
von,ADP,von
Motiven,NOUN,Motiv
öffentlicher,ADJ,öffentlich
Anlagen,NOUN,Anlage
schafft,VERB,schaffen
sie,PRON,sie
eine,DET,ein
räumliche,ADJ,räumlich
Situation,NOUN,Situation
innerhalb,ADP,innerhalb
der,DET,der
Klosterruine,NOUN,Klosterruin
",",PUNCT,--
die,PRON,der
kulturelle,ADJ,kulturell
Referenzen,NOUN,Referenz
und,CCONJ,und
Zeitvorstellungen,NOUN,Zeitvorstellunge
kollidieren,VERB,kollidieren
lässt,VERB,lässt
.,PUNCT,--
Indem,SCONJ,indem
Sabahi,PROPN,Sabahi
die,DET,der
üblichen,ADJ,üblich
Funktionen,NOUN,Funktion
von,ADP,von
Objekten,NOUN,Objekt
neu,ADV,neu
verortet,VERB,verorten
",",PUNCT,--
entwirft,VERB,entwerfen
sie,PRON,sie
alternative,ADJ,alternativ
Möglichkeiten,NOUN,Möglichkeit
der,DET,der
Begegnungen,NOUN,Begegnung
mit,ADP,mit
dem,DET,der
Raum,NOUN,Raum
der,DET,der
Klosterruine,NOUN,Klosterruin
und,CCONJ,und
seiner,DET,sein
städtischen,ADJ,städtisch
Umgebung,NOUN,Umgebung
auf,ADP,auf
pragmatische,ADJ,pragmatisch
",",PUNCT,--
gemeinschaftliche,ADJ,gemeinschaftlich
wie,ADP,wie
assoziative,ADJ,assoziativ
Weise,NOUN,Weise
.,PUNCT,--
Kuratiert,VERB,Kuratiert
von,ADP,von
Juliane,PROPN,Juliane
Bischoff,PROPN,Bischoff
.,PUNCT,--
Out,PROPN,Out
of,PROPN,of
Season,PROPN,Season
25.06.2023,NUM,25.06.2023
–,PUNCT,--
06.08.2023,NUM,06.08.2023
Eröffnung,NOUN,Eröffnung
:,PUNCT,--
24.06.2023,NUM,24.06.2023
",",PUNCT,--
Einlass,NOUN,Einlass
:,PUNCT,--
18,NUM,18
Uhr,NOUN,Uhr
19,NUM,19
Uhr,NOUN,Uhr
:,PUNCT,--
Musikperformance,PROPN,Musikperformance
von,ADP,von
Caleb,PROPN,Caleb
Salgado,PROPN,Salgado
Caleb,PROPN,Caleb
Salgado,PROPN,Salgado
ist,AUX,sein
ein,DET,ein
in,ADP,in
Berlin,PROPN,Berlin
lebender,ADJ,lebend
Komponist,NOUN,Komponist
elektronischer,ADJ,elektronisch
Musik,NOUN,Musik
",",PUNCT,--
Kontrabassist,NOUN,Kontrabassist
und,CCONJ,und
Künstler,NOUN,Künstler
.,PUNCT,--
Er,PRON,er
hat,AUX,haben
eine,DET,ein
Ausbildung,NOUN,Ausbildung
in,ADP,in
klassischer,ADJ,klassisch
Musik,NOUN,Musik
und,CCONJ,und
Jazz-Musik,NOUN,Jazz-Musik
als,ADP,als
Kontrabassist,NOUN,Kontrabassist
sowie,CCONJ,sowie
in,ADP,in
elektroakustischer,ADJ,elektroakustisch
Komposition,NOUN,Komposition
.,PUNCT,--
Shirin,NOUN,Shirin
Sabahi,PROPN,Sabahi
studierte,VERB,studieren
Industriedesign,NOUN,Industriedesign
an,ADP,an
der,DET,der
Iran,PROPN,Iran
University,PROPN,University
of,PROPN,of
Science,PROPN,Science
and,PROPN,and
Technology,X,Technology
in,ADP,in
Teheran,PROPN,Teheran
und,CCONJ,und
Fotografie,NOUN,Fotografie
an,ADP,an
der,DET,der
Art,NOUN,Art
University,PROPN,University
",",PUNCT,--
Teheran,PROPN,Teheran
/,PUNCT,--
Iran,PROPN,Iran
.,PUNCT,--
Sie,PRON,sie
erhielt,VERB,erhalten
ihren,DET,ihr
Master,PROPN,Master
of,PROPN,of
Fine,PROPN,Fine
Arts,X,Arts
an,ADP,an
der,DET,der
Malmö,PROPN,Malmö
Art,PROPN,Art
Academy,PROPN,Academy
",",PUNCT,--
Malmö,PROPN,Malmö
/,PUNCT,--
Schweden,PROPN,Schweden
.,PUNCT,--
Ihre,DET,ihr
Arbeiten,NOUN,Arbeit
wurden,AUX,werden
in,ADP,in
Einzel-,X,Einzel
und,CCONJ,und
Gruppenausstellungen,NOUN,Gruppenausstellung
weltweit,ADV,weltweit
