Token,PoS,Lemma
Zentrale,ADJ,zentral
Impuls-,X,Impuls
und,CCONJ,und
Beschwerdestelle,NOUN,Beschwerdestelle
für,ADP,für
Bürgerinnen,NOUN,Bürgerin
und,CCONJ,und
Bürger,NOUN,Bürger
im,ADP,in
Bezirksamt,NOUN,Bezirksamt
Mitte,NOUN,Mitte
"
",SPACE,"
"
Die,DET,der
Bezirksstadträtin,NOUN,Bezirksstadträtin
für,ADP,für
Jugend,NOUN,Jugend
",",PUNCT,--
Familie,NOUN,Familie
und,CCONJ,und
Bürgerdienste,NOUN,Bürgerdienste
",",PUNCT,--
Ramona,PROPN,Ramona
Reiser,PROPN,Reiser
",",PUNCT,--
informiert,VERB,informieren
:,PUNCT,--
Die,DET,der
Bürger*innen,NOUN,Bürger*inn
im,ADP,in
Bezirk,NOUN,Bezirk
Mitte,PROPN,Mitte
haben,AUX,haben
ab,ADP,ab
sofort,ADV,sofort
die,DET,der
Möglichkeit,NOUN,Möglichkeit
Anregungen,NOUN,Anregung
",",PUNCT,--
Beschwerden,NOUN,Beschwerde
und,CCONJ,und
Lob,NOUN,Lob
an,ADP,an
die,DET,der
Zentrale,NOUN,Zentrale
Impuls-,X,Impuls
und,CCONJ,und
Beschwerdestelle,NOUN,Beschwerdestelle
im,ADP,in
Bezirksamt,NOUN,Bezirksamt
Mitte,NOUN,Mitte
zu,PART,zu
übermitteln,VERB,übermitteln
.,PUNCT,--
Das,DET,der
neu,ADV,neu
eingerichtete,ADJ,eingerichtet
Beschwerdecenter,NOUN,Beschwerdecenter
wird,AUX,werden
als,ADP,als
eine,DET,ein
unabhängige,ADJ,unabhängig
Stelle,NOUN,Stelle
alle,DET,aller
Impulse,NOUN,Impuls
und,CCONJ,und
Beschwerden,NOUN,Beschwerde
koordinieren,VERB,koordinieren
und,CCONJ,und
an,ADP,an
die,DET,der
zuständigen,ADJ,zuständig
Verwaltungsbereiche,NOUN,Verwaltungsbereiche
weiterleiten,VERB,weiterleiten
",",PUNCT,--
die,PRON,der
sich,PRON,sich
um,ADP,um
die,DET,der
Anliegen,NOUN,Anliegen
der,DET,der
Bürger*innen,NOUN,Bürger*inn
kümmern,VERB,kümmern
.,PUNCT,--
Jeder,DET,jeder
Hinweis,NOUN,Hinweis
wird,AUX,werden
–,PUNCT,--
neben,ADP,neben
der,DET,der
Einzelfallprüfung,NOUN,Einzelfallprüfung
–,PUNCT,--
anonymisiert,VERB,anonymisiert
erfasst,VERB,erfasst
und,CCONJ,und
ausgewertet,VERB,auswerten
.,PUNCT,--
Durch,ADP,durch
zentrale,ADJ,zentral
Steuerung,NOUN,Steuerung
",",PUNCT,--
Erfassung,NOUN,Erfassung
und,CCONJ,und
Auswertung,NOUN,Auswertung
soll,AUX,sollen
der,DET,der
Service,NOUN,Service
des,DET,der
Bezirksamts,NOUN,Bezirksamt
Mitte,NOUN,Mitte
kontinuierlich,ADV,kontinuierlich
verbessert,VERB,verbessern
und,CCONJ,und
zielgenau,ADV,zielgenau
organisiert,VERB,organisieren
werden,AUX,werden
.,PUNCT,--
BzStR,PROPN,BzStR
Reiser,PROPN,Reiser
betont,VERB,betonen
:,PUNCT,--
„,PUNCT,--
Mit,ADP,mit
dem,DET,der
Zentralen,ADJ,Zentralen
Beschwerde-,X,Beschwerde
und,CCONJ,und
Impulsmanagement,NOUN,Impulsmanagement
beschreitet,VERB,beschreiten
der,DET,der
Bezirk,NOUN,Bezirk
Mitte,PROPN,Mitte
einen,DET,ein
neuen,ADJ,neu
Weg,NOUN,Weg
",",PUNCT,--
um,SCONJ,um
die,DET,der
Bürger*innenfreundlichkeit,NOUN,Bürger*innenfreundlichkeit
der,DET,der
Verwaltung,NOUN,Verwaltung
zu,PART,zu
stärken,VERB,stärken
.,PUNCT,--
Das,DET,der
berlinweit,ADV,berlinweit
erste,ADJ,erster
Beschwerdecenter,NOUN,Beschwerdecenter
soll,AUX,sollen
dabei,ADV,dabei
helfen,VERB,helfen
Hemmschwellen,NOUN,Hemmschwelle
gegenüber,ADP,gegenüber
den,DET,der
Behörden,NOUN,Behörde
abzubauen,VERB,abbauen
und,CCONJ,und
Bürger*innen,NOUN,Bürger*inn
ermutigen,VERB,ermutigen
ihre,DET,ihr
Ideen,NOUN,Idee
",",PUNCT,--
Kritik,NOUN,Kritik
oder,CCONJ,oder
auch,ADV,auch
mal,ADV,mal
ein,DET,ein
Dankeschön,NOUN,Dankeschön
an,ADP,an
die,DET,der
Verwaltung,NOUN,Verwaltung
loszuwerden,VERB,loswerden
.,PUNCT,--
Die,DET,der
Kolleg*innen,NOUN,Kolleg*inn
des,DET,der
Beschwerdecenters,NOUN,Beschwerdecenter
sind,AUX,sein
für,ADP,für
diese,DET,dieser
Anliegen,NOUN,Anliegen
die,DET,der
richtigen,ADJ,richtig
Ansprechpartner*innen,NOUN,Ansprechpartner*inn
.,PUNCT,--
“,PUNCT,--
Ihre,DET,ihr
Anliegen,NOUN,Anliegen
können,AUX,können
Bürger*innen,NOUN,Bürger*inn
persönlich,ADV,persönlich
",",PUNCT,--
telefonisch,ADV,telefonisch
oder,CCONJ,oder
schriftlich,ADV,schriftlich
per,ADP,per
Brief,NOUN,Brief
