Token,PoS,Lemma
Pflegestützpunkt,NOUN,Pflegestützpunkt
Marzahn,PROPN,Marzahn
zu,ADP,zu
Gast,NOUN,Gast
in,ADP,in
der,DET,der
Bibliothek,NOUN,Bibliothek
:,PUNCT,--
Den,DET,der
Alterssimulator,NOUN,Alterssimulator
„,PUNCT,--
GERT,PROPN,GERT
“,PUNCT,--
selbst,ADV,selbst
ausprobieren,VERB,ausprobieren
"
",SPACE,"
"
Am,ADP,an
Dienstag,NOUN,Dienstag
",",PUNCT,--
dem,DET,der
6.,ADJ,6.
September,NOUN,September
2022,NUM,2022
von,ADP,von
13:00,PROPN,13:00
bis,ADP,bis
17:00,DET,17:00
Uhr,NOUN,Uhr
kann,AUX,können
in,ADP,in
der,DET,der
Bezirkszentralbibliothek,NOUN,Bezirkszentralbibliothek
„,PUNCT,--
Mark,PROPN,Mark
Twain,PROPN,Twain
“,PUNCT,--
",",PUNCT,--
Marzahner,NOUN,Marzahner
Promenade,PROPN,Promenade
55,NUM,55
",",PUNCT,--
12679,NUM,12679
Berlin,PROPN,Berlin
",",PUNCT,--
der,DET,der
Alterssimulator,NOUN,Alterssimulator
„,PUNCT,--
GERT,PROPN,GERT
“,PUNCT,--
selbst,ADV,selbst
ausprobiert,VERB,ausprobieren
werden,AUX,werden
.,PUNCT,--
Vierteljährlich,ADV,vierteljährlich
sind,AUX,sein
Mitarbeiterinnen,NOUN,Mitarbeiterin
und,CCONJ,und
Mitarbeiter,NOUN,Mitarbeiter
des,DET,der
nahegelegenen,ADJ,nahegelegen
Pflegestützpunktes,NOUN,Pflegestützpunkt
mit,ADP,mit
einem,DET,ein
offenen,ADJ,offen
Beratungsangebot,NOUN,Beratungsangebot
zu,ADP,zu
Gast,NOUN,Gast
in,ADP,in
der,DET,der
Bibliothek,NOUN,Bibliothek
.,PUNCT,--
Dieses,DET,dieser
Mal,NOUN,mal
bringen,VERB,bringen
sie,PRON,sie
einen,DET,ein
Alterssimulationsanzug,NOUN,Alterssimulationsanzug
mit,ADP,mit
.,PUNCT,--
Er,PRON,er
versetzt,VERB,versetzen
den,DET,der
Träger,NOUN,Träger
in,ADP,in
die,DET,der
Lage,NOUN,Lage
eines,DET,ein
älteren,ADJ,alt
Menschen,NOUN,Mensch
.,PUNCT,--
Alle,DET,aller
natürlichen,ADJ,natürlich
Alterserscheinungen,NOUN,Alterserscheinung
",",PUNCT,--
wie,SCONJ,wie
die,DET,der
nachlassende,ADJ,nachlassend
Kraft,NOUN,Kraft
",",PUNCT,--
die,DET,der
verringerte,ADJ,verringert
Beweglichkeit,NOUN,Beweglichkeit
und,CCONJ,und
Koordination,NOUN,Koordination
werden,AUX,werden
hierbei,ADV,hierbei
nachgebildet,VERB,nachgebilden
und,CCONJ,und
erlebbar,ADV,erlebbar
gemacht,VERB,machen
.,PUNCT,--
Eintritt,NOUN,Eintritt
frei,ADV,frei
",",PUNCT,--
ohne,ADP,ohne
Anmeldung,NOUN,Anmeldung
!,PUNCT,--
Beachten,VERB,Beachn
Sie,PRON,sie
bitte,ADV,bitte
tagesaktuell,ADV,tagesaktuell
die,DET,der
Corona-Schutzbestimmungen,NOUN,Corona-Schutzbestimmung
des,DET,der
Landes,NOUN,Land
Berlin,PROPN,Berlin
.,PUNCT,--
Mehr,ADV,mehr
zu,ADP,zu
den,DET,der
Aktivitäten,NOUN,Aktivität
der,DET,der
Bibliotheken,NOUN,Bibliothek
in,ADP,in
Marzahn-Hellersdorf,PROPN,Marzahn-Hellersdorf
