Token,PoS,Lemma
Verdacht,NOUN,Verdacht
der,DET,der
Körperverletzung,NOUN,Körperverletzung
im,ADP,in
Amt,NOUN,Amt
-,PUNCT,--
Zeuginnen,NOUN,Zeuginn
und,CCONJ,und
Zeugen,NOUN,Zeuge
gesucht,VERB,suchen
"
",SPACE,"
"
Nr.,NOUN,Nr.
0915,NUM,0915
Wegen,ADP,wegen
des,DET,der
Verdachts,NOUN,Verdacht
einer,DET,ein
Körperverletzung,NOUN,Körperverletzung
im,ADP,in
Amt,NOUN,Amt
hat,AUX,haben
das,DET,der
für,ADP,für
Beamtendelikte,NOUN,Beamtendelikt
zuständige,ADJ,zuständig
Fachkommissariat,NOUN,Fachkommissariat
des,DET,der
Landeskriminalamtes,NOUN,Landeskriminalamt
die,DET,der
Ermittlungen,NOUN,Ermittlung
zu,ADP,zu
einem,DET,ein
Sachverhalt,NOUN,Sachverhalt
vom,ADP,von
17.,ADJ,17.
Mai,NOUN,Mai
2023,NUM,2023
im,ADP,in
Ortsteil,NOUN,Ortsteil
Hansaviertel,NOUN,Hansaviertel
übernommen,VERB,übernehmen
.,PUNCT,--
Der,DET,der
Vorfall,NOUN,Vorfall
soll,AUX,sollen
sich,PRON,sich
zwischen,ADP,zwischen
19,NUM,19
und,CCONJ,und
19.45,NUM,19.45
Uhr,NOUN,Uhr
im,ADP,in
U-Bahnhof,NOUN,U-Bahnhof
Hansaplatz,NOUN,Hansaplatz
ereignet,VERB,ereignen
haben,AUX,haben
.,PUNCT,--
Nach,ADP,nach
dem,DET,der
bisherigen,ADJ,bisherig
Kenntnisstand,NOUN,Kenntnisstand
unterstützten,VERB,unterstützt
Polizeieinsatzkräfte,NOUN,Polizeieinsatzkräft
an,ADP,an
diesem,DET,dieser
Abend,NOUN,Abend
Mitarbeitende,NOUN,Mitarbeitende
der,DET,der
Berliner,ADJ,Berliner
Verkehrsbetriebe,NOUN,Verkehrsbetrieb
bei,ADP,bei
der,DET,der
Feststellung,NOUN,Feststellung
der,DET,der
Identität,NOUN,Identität
eines,DET,ein
