Token,PoS,Lemma
Mann,NOUN,Mann
versucht,VERB,versuchen
Geldautomaten,NOUN,Geldautomat
aufzubrechen,VERB,aufbrechen
-,PUNCT,--
Festnahme,NOUN,Festnahme
"
",SPACE,"
"
Nr.,NOUN,Nr.
2353,NUM,2353
Ein,DET,ein
bislang,ADV,bislang
Unbekannter,NOUN,unbekannte
versuchte,VERB,versuchen
gestern,ADV,gestern
Mittag,NOUN,Mittag
in,ADP,in
Friedrichshagen,NOUN,Friedrichshage
Geldautomaten,NOUN,Geldautomat
aufzubrechen,VERB,aufbrechen
.,PUNCT,--
Einsatzkräfte,NOUN,Einsatzkraft
nahmen,VERB,nehmen
ihn,PRON,ihn
noch,ADV,noch
vor,ADP,vor
Ort,NOUN,Ort
fest,ADV,fest
.,PUNCT,--
Kunden,NOUN,Kunde
und,CCONJ,und
Passanten,NOUN,Passant
bemerkten,VERB,bemerken
gegen,ADP,gegen
12.25,NUM,12.25
Uhr,NOUN,Uhr
einen,DET,ein
Mann,NOUN,Mann
in,ADP,in
einer,DET,ein
Bankfiliale,NOUN,Bankfiliale
in,ADP,in
der,DET,der
Bölschestraße,NOUN,Bölschestraße
",",PUNCT,--
der,PRON,der
im,ADP,in
Vorraum,NOUN,Vorraum
die,DET,der
Fensterscheiben,NOUN,Fensterscheibe
mit,ADP,mit
Farbe,NOUN,Farbe
besprühte,VERB,besprühen
.,PUNCT,--
Zeuginnen,NOUN,Zeuginn
und,CCONJ,und
Zeugen,NOUN,Zeuge
gaben,VERB,geben
an,ADP,an
",",PUNCT,--
dass,SCONJ,dass
der,DET,der
Mann,NOUN,Mann
sie,PRON,sie
aufgefordert,VERB,auffordern
habe,AUX,haben
",",PUNCT,--
die,DET,der
Filiale,NOUN,Filiale
zu,PART,zu
verlassen,VERB,verlassen
",",PUNCT,--
da,SCONJ,da
dort,ADV,dort
nun,ADV,nun
Arbeiten,NOUN,Arbeit
durchgeführt,VERB,durchführen
werden,AUX,werden
würden,AUX,werden
.,PUNCT,--
Nun,ADV,nun
habe,AUX,haben
er,PRON,er
versucht,VERB,versuchen
",",PUNCT,--
mehrere,DET,mehrere
Geldautomaten,NOUN,Geldautomat
gewaltsam,ADV,gewaltsam
mit,ADP,mit
Werkzeugen,NOUN,Werkzeug
aufzubrechen,VERB,aufbrechen
.,PUNCT,--
Die,DET,der
Automaten,NOUN,Automat
wurden,AUX,werden
zwar,ADV,zwar
stark,ADV,stark
beschädigt,VERB,beschädigen
",",PUNCT,--
an,ADP,an
das,DET,der
Geld,NOUN,Geld
kam,VERB,kommen
der,DET,der
Mann,NOUN,Mann
jedoch,ADV,jedoch
nicht,PART,nicht
.,PUNCT,--
Einsatzkräfte,NOUN,Einsatzkraft
des,DET,der
Spezialeinsatzkommandos,NOUN,Spezialeinsatzkommando
nahmen,VERB,nehmen
den,DET,der
nach,ADP,nach
eigenen,ADJ,eigen
Angaben,NOUN,Angabe
37,NUM,37
Jahre,NOUN,Jahr
alten,ADJ,alt
Mann,NOUN,Mann
fest,ADV,fest
.,PUNCT,--
Er,PRON,er
wurde,AUX,werden
für,ADP,für
ein,DET,ein
Fachkommissariat,NOUN,Fachkommissariat
der,DET,der
Direktion,NOUN,Direktion
3,NUM,3
(,PUNCT,--
Ost,NOUN,Ost
),PUNCT,--
",",PUNCT,--
insbesondere,ADV,insbesondere
zur,ADP,zu
Klärung,NOUN,Klärung
seiner,DET,sein
Identität,NOUN,Identität
",",PUNCT,--
eingeliefert,VERB,einliefern
.,PUNCT,--
Die,DET,der
Ermittlungen,NOUN,Ermittlung
wegen,ADP,wegen
versuchten,ADJ,versucht
schweren,ADJ,schwer
Diebstahls,NOUN,Diebstahl
dauern,VERB,dauern
an,ADP,an
.,PUNCT,--
