Token,PoS,Lemma
Informationsveranstaltung,NOUN,Informationsveranstaltung
für,ADP,für
Lehrkräfte,NOUN,Lehrkraft
von,ADP,von
Grundschulen,NOUN,Grundschule
zur,ADP,zu
neuen,ADJ,neu
Museumspädagogik,NOUN,Museumspädagogik
im,ADP,in
Museum,NOUN,Museum
Reinickendorf,PROPN,Reinickendorf
"
",SPACE,"
"
Am,ADP,an
25.,ADJ,25.
Februar,NOUN,Februar
und,CCONJ,und
am,ADP,an
6.,ADJ,6.
März,NOUN,März
2019,NUM,2019
",",PUNCT,--
jeweils,ADV,jeweils
um,ADP,um
15,NUM,15
Uhr,NOUN,Uhr
",",PUNCT,--
lädt,VERB,laden
das,DET,der
Museum,NOUN,Museum
Reinickendorf,PROPN,Reinickendorf
zur,ADP,zu
zweistündigen,ADJ,zweistündig
Informationsveranstaltung,NOUN,Informationsveranstaltung
und,CCONJ,und
Lehrerfortbildung,NOUN,Lehrerfortbildung
für,ADP,für
Lehrkräfte,NOUN,Lehrkraft
an,ADP,an
Grundschulen,NOUN,Grundschule
über,ADP,über
neue,ADJ,neu
museumspädagogische,ADJ,museumspädagogisch
Angebote,NOUN,Angebot
im,ADP,in
Museum,NOUN,Museum
Reinickendorf,PROPN,Reinickendorf
und,CCONJ,und
an,ADP,an
weiteren,ADJ,weit
Standorten,NOUN,Standort
ein,ADV,ein
.,PUNCT,--
Ab,ADP,ab
dem,DET,der
Frühjahr,NOUN,Frühjahr
2019,NUM,2019
startet,VERB,starten
das,DET,der
Museum,NOUN,Museum
mit,ADP,mit
seinen,DET,sein
neuen,ADJ,neu
museumspädagogischen,ADJ,museumspädagogisch
Angeboten,NOUN,Angebot
und,CCONJ,und
möchte,AUX,möchten
sich,PRON,sich
bei,ADP,bei
interessiertem,ADJ,interessiert
Lehrpersonal,NOUN,Lehrpersonal
der,DET,der
Reinickendorfer,ADJ,Reinickendorfer
Grundschulen,NOUN,Grundschule
und,CCONJ,und
umliegenden,ADJ,umliegend
Berliner,ADJ,Berliner
und,CCONJ,und
Brandenburger,ADJ,Brandenburger
Schulen,NOUN,Schule
vorstellen,VERB,vorstellen
.,PUNCT,--
„,PUNCT,--
Der,DET,der
Bereich,NOUN,Bereich
Bildung,NOUN,Bildung
und,CCONJ,und
Vermittlung,NOUN,Vermittlung
wird,AUX,werden
derzeit,ADV,derzeit
ausgebaut,VERB,ausbauen
und,CCONJ,und
erweitert,VERB,erweitern
und,CCONJ,und
ermöglicht,VERB,ermöglichen
es,PRON,es
dem,DET,der
Museum,NOUN,Museum
Reinickendorf,PROPN,Reinickendorf
künftig,ADV,künftig
",",PUNCT,--
als,ADP,als
außerschulischer,ADJ,außerschulisch
Lernort,NOUN,Lernort
mit,ADP,mit
vielfältigen,ADJ,vielfältig
Angeboten,NOUN,Angebot
verstärkt,ADV,verstärkt
in,ADP,in
Erscheinung,NOUN,Erscheinung
