Token,PoS,Lemma
Mann,NOUN,Mann
bei,ADP,bei
Raub,NOUN,Raub
verletzt,VERB,verletzen
"
",SPACE,"
"
Nr.,NOUN,Nr.
0823,NUM,0823
In,ADP,in
der,DET,der
vergangenen,ADJ,vergangen
Nacht,NOUN,Nacht
wurde,AUX,werden
in,ADP,in
Kaulsdorf,PROPN,Kaulsdorf
ein,DET,ein
Mann,NOUN,Mann
bei,ADP,bei
einem,DET,ein
Raub,NOUN,Raub
verletzt,VERB,verletzen
.,PUNCT,--
Nach,ADP,nach
Angaben,NOUN,Angabe
des,DET,der
24-Jährigen,NOUN,24-Jährig
hielt,VERB,halten
er,PRON,er
sich,PRON,sich
mit,ADP,mit
Bekannten,NOUN,bekannte
gegen,ADP,gegen
23.45,NUM,23.45
Uhr,NOUN,Uhr
in,ADP,in
der,DET,der
Nähe,NOUN,Nähe
des,DET,der
Butzer,ADJ,Butzer
Sees,NOUN,See
auf,ADP,auf
",",PUNCT,--
als,SCONJ,als
er,PRON,er
aus,ADP,aus
einer,DET,ein
Gruppe,NOUN,Gruppe
heraus,ADV,heraus
von,ADP,von
einem,DET,ein
Jugendlichen,NOUN,jugendliche
aufgefordert,VERB,auffordern
wurde,AUX,werden
",",PUNCT,--
seine,DET,sein
Tasche,NOUN,Tasche
herauszugeben,VERB,herausgeben
.,PUNCT,--
Als,SCONJ,als
sich,PRON,sich
der,DET,der
junge,ADJ,jung
Mann,NOUN,Mann
weigerte,VERB,weigern
",",PUNCT,--
sollen,AUX,sollen
die,DET,der
Mitglieder,NOUN,Mitglied
der,DET,der
Gruppe,NOUN,Gruppe
auf,ADP,auf
ihn,PRON,ihn
eingeschlagen,VERB,einschlagen
haben,AUX,haben
",",PUNCT,--
so,ADV,so
dass,SCONJ,dass
er,PRON,er
stürzte,VERB,stürzen
.,PUNCT,--
Am,ADP,an
Boden,NOUN,Boden
liegend,ADV,liegend
soll,AUX,sollen
der,DET,der
Jugendliche,NOUN,jugendliche
auf,ADP,auf
ihn,PRON,ihn
eingeschlagen,VERB,einschlagen
und,CCONJ,und
eingetreten,VERB,eintreten
haben,AUX,haben
.,PUNCT,--
Schließlich,ADV,schließlich
flüchtete,VERB,flüchten
die,DET,der
Angreifergruppe,NOUN,Angreifergruppe
mit,ADP,mit
der,DET,der
Tasche,NOUN,Tasche
als,ADP,als
Beute,NOUN,Beute
in,ADP,in
Richtung,NOUN,Richtung
Chemnitzer,ADJ,Chemnitzer
Straße,NOUN,Straße
.,PUNCT,--
Begleiter,NOUN,Begleiter
des,DET,der
Beraubten,NOUN,Beraubt
konnten,AUX,können
beobachten,VERB,beobachten
",",PUNCT,--
dass,SCONJ,dass
der,DET,der
jugendliche,ADJ,jugendlich
Tatverdächtige,NOUN,Tatverdächtige
seine,DET,sein
Flucht,NOUN,Flucht
in,ADP,in
einem,DET,ein
Bus,NOUN,Bus
fortgesetzt,VERB,fortsetzen
habe,AUX,haben
.,PUNCT,--
Alarmierte,ADJ,alarmiert
Einsatzkräfte,NOUN,Einsatzkraft
der,DET,der
Direktion,NOUN,Direktion
3,NUM,3
(,PUNCT,--
Ost,NOUN,Ost
),PUNCT,--
machten,VERB,machen
wenig,ADV,wenig
später,ADV,spät
den,DET,der
Linienbus,NOUN,Linienbus
am,ADP,an
S-Bahnhof,NOUN,S-Bahnhof
Köpenick,PROPN,Köpenick
aus,ADP,aus
",",PUNCT,--
nahmen,VERB,nehmen
den,DET,der
17-jährigen,ADJ,17-jährig
Tatverdächtigen,NOUN,Tatverdächtig
",",PUNCT,--
der,PRON,der
als,ADP,als
Intensivtäter,NOUN,Intensivtäter
polizeilich,ADV,polizeilich
bekannt,ADV,bekannt
ist,AUX,sein
",",PUNCT,--
in,ADP,in
der,DET,der
Bahnhofstraße,PROPN,Bahnhofstraße
fest,ADV,fest
und,CCONJ,und
übergaben,VERB,übergeben
ihn,PRON,ihn
der,DET,der
Kriminalpolizei,NOUN,Kriminalpolizei
.,PUNCT,--
Rettungskräfte,NOUN,Rettungskraft
brachten,VERB,bringen
den,DET,der
24-Jährigen,NOUN,24-Jährig
mit,ADP,mit
Kopfverletzungen,NOUN,Kopfverletzung
in,ADP,in
ein,DET,ein
Krankenhaus,NOUN,Krankenhaus
",",PUNCT,--
in,ADP,in
dem,PRON,der
er,PRON,er
ambulant,ADV,ambulant
behandelt,VERB,behandeln
wurde,AUX,werden
.,PUNCT,--
Die,DET,der
Ermittlungen,NOUN,Ermittlung
zum,ADP,zu
Tatablauf,NOUN,Tatablauf
und,CCONJ,und
den,DET,der
mutmaßlichen,ADJ,mutmaßlich
Mittätern,NOUN,Mittäter
des,DET,der
Festgenommenen,NOUN,festgenommener
dauern,VERB,dauern
an,ADP,an
.,PUNCT,--
