Token,PoS,Lemma
Rathaus,NOUN,Rathaus
Tiergarten,PROPN,Tiergarten
:,PUNCT,--
Zeitzeugnisse,NOUN,Zeitzeugnis
der,DET,der
Jahre,NOUN,Jahr
1935,NUM,1935
-,NUM,--
1955,NUM,1955
gesucht,VERB,suchen
"
",SPACE,"
"
Die,DET,der
Bezirksstadträtin,NOUN,Bezirksstadträtin
für,ADP,für
Schule,NOUN,Schule
",",PUNCT,--
Sport,NOUN,Sport
",",PUNCT,--
Weiterbildung,NOUN,Weiterbildung
und,CCONJ,und
Kultur,NOUN,Kultur
",",PUNCT,--
Stefanie,PROPN,Stefanie
Remlinger,PROPN,Remlinger
",",PUNCT,--
informiert,VERB,informieren
:,PUNCT,--
Das,DET,der
Rathaus,NOUN,Rathaus
Tiergarten,PROPN,Tiergarten
",",PUNCT,--
erbaut,VERB,erbauen
1935,NUM,1935
bis,CCONJ,bis
1937,NUM,1937
",",PUNCT,--
entstand,VERB,entstehen
als,ADP,als
erster,ADJ,erster
Neubau,NOUN,Neubau
für,ADP,für
eine,DET,ein
Berliner,ADJ,Berliner
Bezirksverwaltung,NOUN,Bezirksverwaltung
unter,ADP,unter
den,DET,der
Nationalsozialisten,NOUN,Nationalsozialist
.,PUNCT,--
Auch,ADV,auch
von,ADP,von
hier,ADV,hier
aus,ADP,aus
wurde,AUX,werden
die,DET,der
Verfolgung,NOUN,Verfolgung
und,CCONJ,und
Deportation,NOUN,Deportation
der,DET,der
Berliner,ADJ,Berliner
Jüdinnen,NOUN,Jüdin
und,CCONJ,und
Juden,NOUN,Jude
mit,ADP,mit
organisiert,VERB,organisieren
.,PUNCT,--
Teilzerstört,VERB,Teilzerstört
im,ADP,in
Zweiten,ADJ,zweiter
Weltkrieg,NOUN,Weltkrieg
",",PUNCT,--
wurde,AUX,werden
das,DET,der
Gebäude,NOUN,Gebäude
1953,NUM,1953
modernisiert,VERB,modernisieren
.,PUNCT,--
Im,ADP,in
Rahmen,NOUN,Rahmen
des,DET,der
Forschungsprojekts,NOUN,Forschungsprojekt
„,PUNCT,--
Das,DET,der
Rathaus,NOUN,Rathaus
Tiergarten,PROPN,Tiergarten
1935,NUM,1935
-,PUNCT,--
1955,NUM,1955
“,PUNCT,--
suchen,VERB,suchen
Mitte,NOUN,Mitte
Museum,NOUN,Museum
und,CCONJ,und
Bezirksamt,NOUN,Bezirksamt
Mitte,NOUN,Mitte
von,ADP,von
Berlin,PROPN,Berlin
nach,ADP,nach
Zeitzeugnissen,NOUN,Zeitzeugnissen
.,PUNCT,--
Besonders,ADV,besonders
Fotografien,NOUN,Fotografien
",",PUNCT,--
Tagebucheinträge,NOUN,Tagebucheintrag
",",PUNCT,--
Memoiren,NOUN,Memoire
",",PUNCT,--
aber,CCONJ,aber
auch,ADV,auch
Zeichnungen,NOUN,Zeichnung
und,CCONJ,und
Malereien,NOUN,Malerei
",",PUNCT,--
welche,PRON,welcher
das,DET,der
Rathaus,NOUN,Rathaus
oder,CCONJ,oder
dessen,PRON,der
Umgebung,NOUN,Umgebung
in,ADP,in
dieser,DET,dieser
Zeit,NOUN,Zeit
thematisieren,VERB,thematisieren
",",PUNCT,--
sind,AUX,sein
gefragt,VERB,fragen
.,PUNCT,--
Ziel,NOUN,Ziel
des,DET,der
Projektes,NOUN,Projekt
ist,AUX,sein
es,PRON,es
",",PUNCT,--
Nachlässe,NOUN,Nachlaß
zu,PART,zu
erhalten,VERB,erhalten
und,CCONJ,und
zu,PART,zu
erforschen,VERB,erforschen
",",PUNCT,--
wie,SCONJ,wie
das,DET,der
Rathaus,NOUN,Rathaus
–,PUNCT,--
das,DET,der
Gebäude,NOUN,Gebäude
und,CCONJ,und
die,DET,der
dortige,ADJ,dortig
Verwaltung,NOUN,Verwaltung
–,PUNCT,--
von,ADP,von
der,DET,der
lokalen,ADJ,lokal
Bevölkerung,NOUN,Bevölkerung
während,ADP,während
der,DET,der
NS-Zeit,NOUN,NS-Zeit
",",PUNCT,--
in,ADP,in
der,DET,der
„,PUNCT,--
Zwischenzeit,NOUN,Zwischenzeit
“,PUNCT,--
und,CCONJ,und
ab,ADP,ab
1949,NUM,1949
wahrgenommen,VERB,wahrnehmen
und,CCONJ,und
akzeptiert,VERB,akzeptieren
wurde,AUX,werden
.,PUNCT,--
Das,DET,der
Bezirksamt,NOUN,Bezirksamt
Mitte,NOUN,Mitte
setzt,VERB,setzen
