Token,PoS,Lemma
4.,ADJ,4.
Langer,ADJ,Langer
Tisch,NOUN,Tisch
der,DET,der
Kulturen,NOUN,Kultur
in,ADP,in
Neu-Westend,PROPN,Neu-Westend
"
",SPACE,"
"
Der,DET,der
4.,ADJ,4.
Lange,ADJ,lang
Tisch,NOUN,Tisch
der,DET,der
Kulturen,NOUN,Kultur
findet,VERB,finden
am,ADP,an
Samstag,NOUN,Samstag
",",PUNCT,--
4.,ADJ,4.
September,NOUN,September
2021,NUM,2021
",",PUNCT,--
ab,ADP,ab
17,NUM,17
Uhr,NOUN,Uhr
am,ADP,an
Branitzer,ADJ,Branitzer
Platz,NOUN,Platz
in,ADP,in
Neu-Westend,NOUN,Neu-Westend
statt,ADV,statt
.,PUNCT,--
Der,DET,der
Lange,ADJ,lang
Tisch,NOUN,Tisch
der,DET,der
Kulturen,NOUN,Kultur
ist,AUX,sein
eine,DET,ein
Gemeinschaftsveranstaltung,NOUN,Gemeinschaftsveranstaltung
von,ADP,von
vielen,DET,vieler
lokalen,ADJ,lokal
Initiativen,NOUN,Initiative
in,ADP,in
Westend,PROPN,Westend
.,PUNCT,--
Seit,ADP,seit
2018,NUM,2018
findet,VERB,finden
er,PRON,er
jährlich,ADV,jährlich
statt,ADV,statt
und,CCONJ,und
ist,AUX,sein
stetig,ADV,stetig
gewachsen,VERB,wachsen
.,PUNCT,--
Bezirksbürgermeister,NOUN,Bezirksbürgermeister
Reinhard,PROPN,Reinhard
Naumann,PROPN,Naumann
wird,AUX,werden
die,DET,der
Veranstaltung,NOUN,Veranstaltung
am,ADP,an
späten,ADJ,spät
Nachmittag,NOUN,Nachmittag
besuchen,VERB,besuchen
.,PUNCT,--
Zahlreiche,ADJ,zahlreich
Akteur*innen,NOUN,Akteur*inn
aus,ADP,aus
der,DET,der
Nachbarschaft,NOUN,Nachbarschaft
rufen,VERB,rufen
gemeinsam,ADV,gemeinsam
zum,ADP,zu
Kennenlernen,NOUN,kennenlernen
und,CCONJ,und
Austauschen,NOUN,Austausche
unter,ADP,unter
Nachbar*innen,NOUN,Nachbar*inn
auf,ADP,auf
.,PUNCT,--
Im,ADP,in
Vordergrund,NOUN,Vordergrund
steht,VERB,stehen
das,DET,der
persönliche,ADJ,persönlich
Gespräch,NOUN,Gespräch
.,PUNCT,--
Aus,ADP,aus
diesem,DET,dieser
Grund,NOUN,Grund
wird,AUX,werden
kein,DET,kein
festes,ADJ,fest
Programm,NOUN,Programm
gesetzt,VERB,setzen
",",PUNCT,--
sondern,CCONJ,sondern
ein,DET,ein
Rahmen,NOUN,Rahmen
für,ADP,für
persönliche,ADJ,persönlich
Gespräche,NOUN,Gespräch
geschaffen,VERB,schaffen
.,PUNCT,--
Es,PRON,es
laden,VERB,laden
ein,ADV,ein
:,PUNCT,--
BENN,PROPN,BENN
Neu-Westend,PROPN,Neu-Westend
(,PUNCT,--
Berlin,PROPN,Berlin
Entwickelt,VERB,Entwickeln
Neue,ADJ,neu
Nachbarschaften,NOUN,Nachbarschaft
),PUNCT,--
Gemeinschaftsunterkunft,NOUN,Gemeinschaftsunterkunft
Eschenallee,PROPN,Eschenallee
(,PUNCT,--
Prisod,PROPN,Prisod
),PUNCT,--
Gemeinschaftsunterkunft,PROPN,Gemeinschaftsunterkunft
Soorstraße,PROPN,Soorstraße
(,PUNCT,--
TAMAJA,PROPN,TAMAJA
),PUNCT,--
Aufnahmeeinrichtung,NOUN,Aufnahmeeinrichtung
Kirschenallee,PROPN,Kirschenallee
(,PUNCT,--
LfG-B,PROPN,LfG-B
),PUNCT,--
Familienzentrum,NOUN,Familienzentrum
Kastanienallee,PROPN,Kastanienallee
(,PUNCT,--
Pestalozzi,PROPN,Pestalozzi
Fröbel,PROPN,Fröbel
Haus,NOUN,Haus
),PUNCT,--
Willkommen,NOUN,Willkommen
im,ADP,in
Westend,PROPN,Westend
Ulme,NOUN,Ulme
35,NUM,35
(,PUNCT,--
interkulturanstalten,ADJ,interkulturanstalt
e.V.,NOUN,e.V.
),PUNCT,--
Evang,NOUN,Evang
.,PUNCT,--
Kirchenkreis,NOUN,Kirchenkreis
MANNA,PROPN,MANNA
Kinder-,X,Kinder
und,CCONJ,und
Jugendtreff,PROPN,Jugendtreff
Integrationslots*innen,PROPN,Integrationslots*innen
Charlottenburg-Wilmersdorf,PROPN,Charlottenburg-Wilmersdorf
(,PUNCT,--
Diakonisches,ADJ,Diakonisches
Werk,NOUN,Werk
Steglitz-Zehlendorf,PROPN,Steglitz-Zehlendorf
),PUNCT,--
Jugendclub,PROPN,Jugendclub
„,PUNCT,--
Die,DET,der
Eiche,NOUN,Eich
“,PUNCT,--
VITA,PROPN,VITA
e.V.,PROPN,e.V.
Polizei,NOUN,Polizei
Berlin,PROPN,Berlin
(,PUNCT,--
Präventionsabteilung,NOUN,Präventionsabteilung
des,DET,der
Abschnitts,NOUN,Abschnitt
22,NUM,22
),PUNCT,--
Villa,NOUN,Villa
Höhne,NOUN,Höhne
IG,NOUN,IG
Reichsstraße,PROPN,Reichsstraße
SOS,PROPN,SOS
Ensemble,PROPN,Ensemble
Outreach,PROPN,Outreach
LOA,PROPN,LOA
Lernfreunde,PROPN,Lernfreunde
e.V.,PROPN,e.V.
Seituna,PROPN,Seituna
e.V.,X,e.V.
Auch,ADV,auch
in,ADP,in
diesem,DET,dieser
Jahr,NOUN,Jahr
findet,VERB,finden
die,DET,der
gesamte,ADJ,gesamt
Veranstaltung,NOUN,Veranstaltung
unter,ADP,unter
Einhaltung,NOUN,Einhaltung
der,DET,der
pandemiebedingten,ADJ,pandemiebedingt
Hygieneregeln,NOUN,Hygieneregeln
statt,ADV,statt
.,PUNCT,--
Geplant,VERB,planen
ist,AUX,sein
eine,DET,ein
wachsende,ADJ,wachsend
lange,ADJ,lang
Tafel,NOUN,Tafel
aus,ADP,aus
zusammengestellten,ADJ,zusammengestellt
Tischen,NOUN,Tisch
auf,ADP,auf
dem,DET,der
Branitzer,ADJ,Branitzer
Platz,NOUN,Platz
",",PUNCT,--
an,ADP,an
der,PRON,der
alle,DET,aller
Nachbar*innen,NOUN,Nachbar*inn
aus,ADP,aus
Westend,PROPN,Westend
beisammensitzen,VERB,beisammensitzen
und,CCONJ,und
sich,PRON,sich
kennenlernen,VERB,kennenlernen
können,AUX,können
.,PUNCT,--
Aufgrund,ADP,aufgrund
der,DET,der
Situation,NOUN,Situation
zum,ADP,zu
SARS-CoV-2-Virus,NOUN,SARS-CoV-2-Virus
wird,AUX,werden
auf,ADP,auf
ein,DET,ein
offenes,ADJ,offen
Buffet,NOUN,Buffet
verzichtet,VERB,verzichten
.,PUNCT,--
Die,DET,der
Nachbar*innen,NOUN,Nachbar*inn
können,AUX,können
ihr,DET,ihr
eigenes,ADJ,eigen
Essen,NOUN,Essen
mitbringen,VERB,mitbringen
.,PUNCT,--
Es,PRON,es
gibt,VERB,geben
aber,ADV,aber
auch,ADV,auch
ein,DET,ein
Catering,NOUN,Catering
