Token,PoS,Lemma
Volksverhetzung,NOUN,Volksverhetzung
bei,ADP,bei
Streit,NOUN,Streit
zwischen,ADP,zwischen
zwei,NUM,zwei
Männern,NOUN,Mann
"
",SPACE,"
"
Nr.,NOUN,Nr.
0420,NUM,0420
In,ADP,in
der,DET,der
Heidestraße,PROPN,Heidestraße
in,ADP,in
Moabit,NOUN,Moabit
gerieten,VERB,geraten
gestern,ADV,gestern
Nachmittag,NOUN,Nachmittag
ein,DET,ein
51,NUM,51
Jahre,NOUN,Jahr
alter,ADJ,alt
Lkw-,X,Lkw
und,CCONJ,und
ein,DET,ein
24-jähriger,ADJ,24-jährig
Pkw-Fahrer,NOUN,Pkw-Fahrer
in,ADP,in
Streit,NOUN,Streit
.,PUNCT,--
Nach,ADP,nach
jetzigem,ADJ,jetzig
Erkenntnisstand,NOUN,Erkenntnisstand
und,CCONJ,und
Zeugenaussagen,NOUN,Zeugenaussage
soll,AUX,sollen
ein,DET,ein
Abbiegevorgang,NOUN,Abbiegevorgang
des,DET,der
51-Jährigen,NOUN,51-Jährig
",",PUNCT,--
über,ADP,über
den,PRON,der
sich,PRON,sich
der,DET,der
hinter,ADP,hinter
ihm,PRON,ihm
fahrende,ADJ,fahrend
24-Jährige,NOUN,24-Jährige
aufgeregt,VERB,aufgeregt
und,CCONJ,und
wegen,ADP,wegen
dem,PRON,der
er,PRON,er
gehupt,ADV,Gehupt
haben,VERB,haben
soll,AUX,sollen
",",PUNCT,--
Auslöser,NOUN,Auslöser
gewesen,AUX,sein
sein,AUX,sein
.,PUNCT,--
Kurz,ADV,kurz
danach,ADV,danach
sollen,AUX,sollen
die,DET,der
beiden,DET,beide
Männer,NOUN,Mann
aus,ADP,aus
ihren,DET,ihr
Fahrzeugen,NOUN,Fahrzeug
gestiegen,VERB,steigen
und,CCONJ,und
sich,PRON,sich
dann,ADV,dann
gegenseitig,ADV,gegenseitig
geschlagen,VERB,schlagen
und,CCONJ,und
geschubst,VERB,schubsen
haben,AUX,haben
.,PUNCT,--
Beide,PRON,beide
zeigten,VERB,zeigen
den,DET,der
jeweils,ADV,jeweils
anderen,PRON,anderer
im,ADP,in
Nachgang,NOUN,Nachgang
wegen,ADP,wegen
Körperverletzung,NOUN,Körperverletzung
an,ADP,an
.,PUNCT,--
Der,DET,der
Lkw-Fahrer,NOUN,Lkw-Fahrer
soll,AUX,sollen
außerdem,ADV,außerdem
auf,ADP,auf
die,DET,der
Motorhaube,NOUN,Motorhaube
des,DET,der
24-Jährigen,NOUN,24-Jährig
geschlagen,VERB,schlagen
und,CCONJ,und
einen,DET,ein
Außenspiegel,NOUN,Außenspiegel
seines,DET,sein
Opel,NOUN,Opel
beschädigt,VERB,beschädigen
haben,AUX,haben
.,PUNCT,--
Im,ADP,in
Zuge,NOUN,Zug
der,DET,der
Auseinandersetzung,NOUN,Auseinandersetzung
soll,AUX,sollen
der,DET,der
51-Jährige,NOUN,51-Jährige
seinen,DET,sein
Kontrahenten,NOUN,Kontrahent
außerdem,ADV,außerdem
volksverhetzend,ADV,volksverhetzend
beleidigt,VERB,beleidigen
haben,AUX,haben
.,PUNCT,--
Die,DET,der
alarmierten,ADJ,alarmiert
Kolleginnen,NOUN,Kollegin
und,CCONJ,und
Kollegen,NOUN,Kollege
vom,ADP,von
Abschnitt,NOUN,Abschnitt
27,NUM,27
nahmen,VERB,nehmen
eine,DET,ein
entsprechende,ADJ,entsprechend
Anzeige,NOUN,Anzeige
auf,ADP,auf
.,PUNCT,--
Der,DET,der
Lkw-Fahrer,NOUN,Lkw-Fahrer
",",PUNCT,--
der,PRON,der
wiederum,ADV,wiederum
angab,VERB,angeben
",",PUNCT,--
zuvor,ADV,zuvor
von,ADP,von
dem,DET,der
24-Jährigen,NOUN,24-Jährigen
beleidigt,VERB,beleidigen
worden,AUX,werden
zu,PART,zu
sein,AUX,sein
",",PUNCT,--
muss,ADV,muss
sich,PRON,sich
nun,ADV,nun
außerdem,ADV,außerdem
wegen,ADP,wegen
Fahrens,NOUN,Fahren
unter,ADP,unter
dem,DET,der
Einfluss,NOUN,Einfluss
berauschender,ADJ,berauschend
Mittel,NOUN,Mittel
verantworten,VERB,verantworten
.,PUNCT,--
Ein,DET,ein
freiwillig,ADV,freiwillig
durchgeführter,ADV,durchgeführter
Drogentest,NOUN,Drogentest
hatte,AUX,haben
bei,ADP,bei
ihm,PRON,ihm
positiv,ADV,positiv
auf,ADP,auf
Amphetamine,NOUN,Amphetamine
angeschlagen,VERB,angeschlagen
.,PUNCT,--
Ein,DET,ein
Alkoholtest,NOUN,Alkoholtest
war,AUX,sein
negativ,ADV,negativ
ausgefallen,VERB,ausfallen
.,PUNCT,--
Der,DET,der
Mann,NOUN,Mann
kam,VERB,kommen
in,ADP,in
einen,DET,ein
Polizeigewahrsam,NOUN,Polizeigewahrsam
",",PUNCT,--
aus,ADP,aus
dem,PRON,der
er,PRON,er
nach,ADP,nach
einer,DET,ein
Blutentnahme,NOUN,Blutentnahme
wieder,ADV,wieder
entlassen,VERB,entlassen
wurde,AUX,werden
.,PUNCT,--
Der,DET,der
Polizeiliche,ADJ,polizeilich
Staatsschutz,NOUN,Staatsschutz
beim,ADP,bei
Landeskriminalamt,NOUN,Landeskriminalamt
hat,AUX,haben
Ermittlungen,NOUN,Ermittlung
eingeleitet,VERB,einleiten
.,PUNCT,--
