Token,PoS,Lemma
Funkwagen,NOUN,Funkwag
mit,ADP,mit
Flaschen,NOUN,Flasche
beworfen,VERB,bewerfen
"
",SPACE,"
"
Nr.,NOUN,Nr.
1888,NUM,1888
In,ADP,in
der,DET,der
vergangenen,ADJ,vergangen
Nacht,NOUN,Nacht
kam,VERB,kommen
es,PRON,es
in,ADP,in
Kreuzberg,PROPN,Kreuzberg
zu,ADP,zu
Flaschenwürfen,NOUN,Flaschenwürfen
in,ADP,in
Richtung,NOUN,Richtung
eines,DET,ein
Einsatzfahrzeuges,NOUN,Einsatzfahrzeug
.,PUNCT,--
Gegen,ADP,gegen
1,NUM,1
Uhr,NOUN,Uhr
war,AUX,sein
ein,DET,ein
Funkwagen,NOUN,Funkwag
",",PUNCT,--
besetzt,VERB,besetzen
mit,ADP,mit
drei,NUM,drei
Polizeikräften,NOUN,Polizeikräft
",",PUNCT,--
auf,ADP,auf
der,DET,der
Friedrichsstraße,NOUN,Friedrichsstraße
unterwegs,ADV,unterwegs
",",PUNCT,--
um,SCONJ,um
zu,PART,zu
brennenden,ADJ,brennend
Müllcontainern,NOUN,Müllcontain
in,ADP,in
selbiger,ADJ,selbig
Straße,NOUN,Straße
zu,PART,zu
fahren,VERB,fahren
.,PUNCT,--
Bei,ADP,bei
der,DET,der
Anfahrt,NOUN,Anfahrt
im,ADP,in
Bereich,NOUN,Bereich
der,DET,der
Franz-Klühs-Straße,PROPN,Franz-Klühs-Straße
flüchtete,VERB,flüchten
eine,DET,ein
bisher,ADV,bisher
unbekannt,ADV,unbekannt
gebliebene,ADJ,geblieben
acht,NUM,Acht
bis,CCONJ,bis
zehnköpfige,ADJ,zehnköpfig
Personengruppe,NOUN,Personengruppe
",",PUNCT,--
jeweils,ADV,jeweils
vermummt,VERB,vermummen
mit,ADP,mit
einer,DET,ein
Art,NOUN,Art
Schlauchschal,PROPN,Schlauchschal
um,ADP,um
den,DET,der
Kopf,NOUN,Kopf
",",PUNCT,--
in,ADP,in
Richtung,NOUN,Richtung
Mehringplatz,NOUN,Mehringplatz
.,PUNCT,--
Zwei,NUM,zwei
Unbekannte,NOUN,unbekannte
aus,ADP,aus
der,DET,der
Gruppe,NOUN,Gruppe
warfen,VERB,werfen
zwei,NUM,zwei
mit,ADP,mit
unbekannter,ADJ,unbekannt
Flüssigkeit,NOUN,Flüssigkeit
gefüllte,ADJ,gefüllt
Flaschen,NOUN,Flasche
",",PUNCT,--
verstopft,VERB,verstopfen
mit,ADP,mit
einem,DET,ein
textilen,ADJ,textil
Stoff,NOUN,Stoff
",",PUNCT,--
in,ADP,in
Richtung,NOUN,Richtung
des,DET,der
fahrenden,ADJ,fahrend
Einsatzwagens,NOUN,Einsatzwagen
.,PUNCT,--
Die,DET,der
Einsatzkräfte,NOUN,Einsatzkraft
hörten,VERB,hören
islamistische,ADJ,islamistisch
Ausrufe,NOUN,Ausrufe
der,DET,der
wegrennenden,ADJ,wegrennend
Personen,NOUN,Person
.,PUNCT,--
Weder,CCONJ,weder
Polizeikräfte,NOUN,Polizeikraft
noch,CCONJ,noch
Einsatzfahrzeug,NOUN,Einsatzfahrzeug
wurden,AUX,werden
getroffen,VERB,treffen
",",PUNCT,--
die,DET,der
Flaschen,NOUN,Flasche
zündeten,VERB,zündeen
nicht,PART,nicht
.,PUNCT,--
Eintreffende,ADJ,eintreffend
Feuerwehrkräfte,NOUN,Feuerwehrkraft
löschten,VERB,löschen
den,DET,der
Brand,NOUN,Brand
der,DET,der
insgesamt,ADV,insgesamt
vier,NUM,vier
brennenden,ADJ,brennend
Mülltonnen,NOUN,Mülltonnum
.,PUNCT,--
Die,DET,der
weiteren,ADJ,weit
Ermittlungen,NOUN,Ermittlung
übernimmt,VERB,übernehmen
der,DET,der
Polizeiliche,ADJ,polizeilich
Staatschutz,NOUN,Staatschutz
.,PUNCT,--
