Token,PoS,Lemma
Berliner,ADJ,Berliner
Senat,NOUN,Senat
beschließt,VERB,beschließen
vorläufiges,ADJ,vorläufig
Aufenthaltsrecht,NOUN,Aufenthaltsrecht
für,ADP,für
nicht-ukrainische,ADJ,nicht-ukrainisch
Drittstaatsangehörige,NOUN,Drittstaatsangehörig
",",PUNCT,--
die,PRON,der
wegen,ADP,wegen
des,DET,der
Krieges,NOUN,Krieg
in,ADP,in
der,DET,der
Ukraine,PROPN,Ukraine
geflohen,VERB,fliehen
sind,AUX,sein
und,CCONJ,und
ihr,DET,ihr
Studium,NOUN,Studium
in,ADP,in
Berlin,PROPN,Berlin
fortsetzen,VERB,fortsetzen
wollen,AUX,wollen
"
",SPACE,"
"
Aus,ADP,aus
der,DET,der
Sitzung,NOUN,Sitzung
des,DET,der
Senats,NOUN,Senat
am,ADP,an
16.,ADJ,16.
August,NOUN,August
2022,NUM,2022
:,PUNCT,--
Der,DET,der
Senat,NOUN,Senat
hat,AUX,haben
heute,ADV,heute
auf,ADP,auf
Vorlage,NOUN,Vorlage
der,DET,der
Senatorin,NOUN,Senatorin
für,ADP,für
Inneres,NOUN,Innere
",",PUNCT,--
Digitalisierung,NOUN,Digitalisierung
und,CCONJ,und
Sport,NOUN,Sport
und,CCONJ,und
der,DET,der
Senatorin,NOUN,Senatorin
für,ADP,für
Wissenschaft,NOUN,Wissenschaft
",",PUNCT,--
Gesundheit,NOUN,Gesundheit
",",PUNCT,--
Pflege,NOUN,Pflege
und,CCONJ,und
Gleichstellung,NOUN,Gleichstellung
Verfahrensweisen,NOUN,Verfahrensweise
zur,ADP,zu
besonderen,ADJ,besonderer
Unterstützung,NOUN,Unterstützung
von,ADP,von
nicht-ukrainischen,ADJ,nicht-ukrainisch
Drittstaatsangehörigen,NOUN,Drittstaatsangehörige
beschlossen,VERB,beschließen
",",PUNCT,--
die,PRON,der
vor,ADP,vor
dem,DET,der
Krieg,NOUN,Krieg
in,ADP,in
der,DET,der
Ukraine,PROPN,Ukraine
nach,ADP,nach
Berlin,PROPN,Berlin
geflohen,VERB,fliehen
sind,AUX,sein
und,CCONJ,und
hier,ADV,hier
ihr,DET,ihr
Studium,NOUN,Studium
fortsetzen,VERB,fortsetzen
wollen,AUX,wollen
.,PUNCT,--
Diesen,DET,dieser
Menschen,NOUN,Mensch
wird,AUX,werden
das,DET,der
Land,NOUN,Land
Berlin,PROPN,Berlin
künftig,ADV,künftig
ein,DET,ein
vorläufiges,ADJ,vorläufig
Aufenthaltsrecht,NOUN,Aufenthaltsrecht
(,PUNCT,--
Fiktionsbescheinigung,NOUN,Fiktionsbescheinigung
),PUNCT,--
für,ADP,für
einen,DET,ein
Zeitraum,NOUN,Zeitraum
von,ADP,von
sechs,NUM,sechs
Monaten,NOUN,Monat
erteilen,VERB,erteilen
",",PUNCT,--
wenn,SCONJ,wenn
sie,PRON,sie
glaubhaft,ADV,glaubhaft
machen,VERB,machen
können,AUX,können
",",PUNCT,--
dass,SCONJ,dass
sie,PRON,sie
zum,ADP,zu
Zeitpunkt,NOUN,Zeitpunkt
des,DET,der
Ausbruchs,NOUN,Ausbruch
des,DET,der
Krieges,NOUN,Krieg
in,ADP,in
der,DET,der
Ukraine,PROPN,Ukraine
studiert,VERB,studieren
haben,AUX,haben
.,PUNCT,--
Damit,ADV,damit
werden,AUX,werden
die,DET,der
Menschen,NOUN,Mensch
in,ADP,in
die,DET,der
Lage,NOUN,Lage
versetzt,VERB,versetzen
",",PUNCT,--
ihr,DET,ihr
Studium,NOUN,Studium
in,ADP,in
Berlin,PROPN,Berlin
weiterzuführen,VERB,weiterzuführen
oder,CCONJ,oder
sich,PRON,sich
auf,ADP,auf
die,DET,der
Fortsetzung,NOUN,Fortsetzung
ihres,DET,ihr
Studiums,NOUN,Studium
vorzubereiten,VERB,vorbereiten
.,PUNCT,--
Innensenatorin,NOUN,Innensenatorin
Iris,PROPN,Iris
Spranger,PROPN,Spranger
:,PUNCT,--
„,PUNCT,--
Unter,ADP,unter
den,DET,der
vielen,DET,vieler
Geflüchteten,NOUN,Geflüchteten
aus,ADP,aus
der,DET,der
Ukraine,PROPN,Ukraine
sind,AUX,sein
Menschen,NOUN,Mensch
aus,ADP,aus
Drittstaaten,NOUN,Drittstaat
",",PUNCT,--
die,PRON,der
in,ADP,in
der,DET,der
Ukraine,PROPN,Ukraine
studiert,VERB,studieren
haben,AUX,haben
