Token,PoS,Lemma
Lust,NOUN,Lust
auf,ADP,auf
Veränderung,NOUN,Veränderung
:,PUNCT,--
111,NUM,111
Einreichungen,NOUN,Einreichunge
beim,ADP,bei
Innovationspreis,NOUN,Innovationspreis
Berlin,PROPN,Berlin
Brandenburg,PROPN,Brandenburg
2023,NUM,2023
"
",SPACE,"
"
Der,DET,der
Wettbewerbsstart,NOUN,Wettbewerbsstart
des,DET,der
Innovationspreises,NOUN,Innovationspreis
Berlin,PROPN,Berlin
Brandenburg,PROPN,Brandenburg
war,AUX,sein
ein,DET,ein
voller,ADJ,voll
Erfolg,NOUN,Erfolg
.,PUNCT,--
Insgesamt,ADV,insgesamt
wurden,AUX,werden
111,NUM,111
Bewerbungen,NOUN,Bewerbung
von,ADP,von
Gründerinnen,NOUN,Gründerinn
und,CCONJ,und
Gründern,NOUN,Gründer
",",PUNCT,--
Unternehmen,NOUN,Unternehmen
und,CCONJ,und
Wissenschaftseinrichtungen,NOUN,Wissenschaftseinrichtung
eingereicht,VERB,einreichen
.,PUNCT,--
Das,DET,der
große,ADJ,groß
Interesse,NOUN,Interesse
zeigt,VERB,zeigen
",",PUNCT,--
dass,SCONJ,dass
der,DET,der
Innovationspreis,NOUN,Innovationspreis
Berlin,PROPN,Berlin
Brandenburg,PROPN,Brandenburg
fest,ADV,fest
in,ADP,in
der,DET,der
Region,NOUN,Region
verankert,VERB,verankern
und,CCONJ,und
der,DET,der
Erfindungsgeist,NOUN,Erfindungsgeist
der,DET,der
Hauptstadtregion,NOUN,Hauptstadtregion
auch,ADV,auch
im,ADP,in
Jahr,NOUN,Jahr
2023,NUM,2023
ungebrochen,ADV,ungebrochen
ist,AUX,sein
.,PUNCT,--
Unter,ADP,unter
den,DET,der
Bewerbungen,NOUN,Bewerbung
sind,AUX,sein
10,NUM,10
Cross-Cluster-Projekte,NOUN,Cross-Cluster-Projekte
und,CCONJ,und
46,NUM,46
Kooperationen,NOUN,Kooperation
aus,ADP,aus
Wissenschaft,NOUN,Wissenschaft
und,CCONJ,und
Wirtschaft,NOUN,Wirtschaft
.,PUNCT,--
Bis,ADP,bis
zum,ADP,zu
3.,ADJ,3.
Juli,NOUN,Juli
hatten,AUX,haben
Unternehmen,NOUN,Unternehmen
",",PUNCT,--
Start-ups,NOUN,Start-ups
und,CCONJ,und
Handwerksbetriebe,NOUN,Handwerksbetrieb
mit,ADP,mit
ausgewiesenem,ADJ,ausgewiesen
Bezug,NOUN,Bezug
zu,ADP,zu
Berlin,PROPN,Berlin
oder,CCONJ,oder
Brandenburg,PROPN,Brandenburg
die,DET,der
Möglichkeit,NOUN,Möglichkeit
",",PUNCT,--
sich,PRON,sich
zu,PART,zu
bewerben,VERB,bewerben
.,PUNCT,--
In,ADP,in
den,DET,der
kommenden,ADJ,kommend
Wochen,NOUN,Woche
und,CCONJ,und
Monaten,NOUN,Monat
bewertet,VERB,bewerten
und,CCONJ,und
entscheidet,VERB,entscheiden
nun,ADV,nun
die,DET,der
Jury,NOUN,Jury
über,ADP,über
die,DET,der
bis,ADV,bis
zu,ADV,zu
zehn,NUM,zehn
Nominierten,NOUN,Nominiert
.,PUNCT,--
Diese,PRON,dieser
werden,AUX,werden
am,ADP,an
4.,ADJ,4.
Oktober,NOUN,Oktober
vorgestellt,VERB,vorstellen
.,PUNCT,--
Die,DET,der
bis,ADV,bis
zu,ADV,zu
fünf,NUM,fünf
Preisträgerinnen,NOUN,Preisträgerinne
und,CCONJ,und
Preisträger,NOUN,Preisträger
werden,AUX,werden
am,ADP,an
24.,ADJ,24.
November,NOUN,November
in,ADP,in
feierlichem,ADJ,feierlich
Rahmen,NOUN,Rahmen
in,ADP,in
Potsdam,PROPN,Potsdam
bekanntgegeben,VERB,bekanntgeben
.,PUNCT,--
Die,DET,der
Innovatorinnen,NOUN,Innovatorinn
und,CCONJ,und
Innovatoren,NOUN,Innovator
aus,ADP,aus
der,DET,der
Region,NOUN,Region
",",PUNCT,--
die,PRON,der
mit,ADP,mit
ihren,DET,ihr
Ideen,NOUN,Idee
überzeugen,VERB,überzeugen
können,AUX,können
",",PUNCT,--
werden,AUX,werden
mit,ADP,mit
insgesamt,ADV,insgesamt
bis,ADV,bis
zu,ADV,zu
75.000,NUM,75.000
Euro,NOUN,Euro
ausgezeichnet,VERB,auszeichnen
.,PUNCT,--
Prof.,NOUN,Prof.
Oliver,PROPN,Oliver
Günther,PROPN,Günther
",",PUNCT,--
Ph,NOUN,Ph
.,PUNCT,--
D.,NOUN,D.
",",PUNCT,--
Jury-Vorsitzender,PROPN,Jury-Vorsitzender
und,CCONJ,und
Präsident,NOUN,Präsident
der,DET,der
Universität,NOUN,Universität
Potsdam,PROPN,Potsdam
:,PUNCT,--
„,PUNCT,--
Die,DET,der
vergangenen,ADJ,vergangen
Jahre,NOUN,Jahr
haben,AUX,haben
viele,DET,vieler
Gründerinnen,NOUN,Gründerinn
und,CCONJ,und
Gründer,NOUN,Gründer
vor,ADP,vor
große,ADJ,groß
Herausforderungen,NOUN,Herausforderung
gestellt,VERB,stellen
.,PUNCT,--
Die,DET,der
Corona-Krise,NOUN,Corona-Krise
",",PUNCT,--
der,DET,der
Ukraine-Krieg,NOUN,Ukraine-Krieg
und,CCONJ,und
die,DET,der
noch,ADV,noch
immer,ADV,immer
hohe,ADJ,hoch
Inflation,NOUN,Inflation
wirken,VERB,wirken
bis,ADP,bis
heute,ADV,heute
wie,ADP,wie
ein,DET,ein
Hemmschuh,NOUN,Hemmschuh
für,ADP,für
Beteiligungen,NOUN,Beteiligung
vieler,DET,vieler
Investorinnen,NOUN,Investorinn
und,CCONJ,und
Investoren,NOUN,Investor
.,PUNCT,--
Dabei,ADV,dabei
sind,AUX,sein
es,PRON,es
gerade,ADV,gerade
Krisen,NOUN,Krise
",",PUNCT,--
die,PRON,der
Unternehmen,NOUN,Unternehmen
und,CCONJ,und
ganze,ADJ,ganz
Gesellschaften,NOUN,Gesellschaft
dazu,ADV,dazu
anhalten,VERB,anhalten
",",PUNCT,--
umzudenken,NOUN,Umzudenk
und,CCONJ,und
Innovationen,NOUN,Innovation
aktiv,ADV,aktiv
voranzutreiben,VERB,vorantreiben
.,PUNCT,--
Und,CCONJ,und
das,PRON,der
nicht,PART,nicht
irgendwann,ADV,irgendwann
",",PUNCT,--
sondern,CCONJ,sondern
jetzt,ADV,jetzt
.,PUNCT,--
Es,PRON,es
freut,VERB,freuen
mich,PRON,mich
",",PUNCT,--
dass,SCONJ,dass
sich,PRON,sich
erneut,ADV,erneut
viele,DET,vieler
schlaue,ADJ,schlau
Köpfe,NOUN,Kopf
auf,ADP,auf
den,DET,der
Weg,NOUN,Weg
gemacht,VERB,machen
haben,AUX,haben
",",PUNCT,--
um,SCONJ,um
ihre,DET,ihr
Ideen,NOUN,Idee
beim,ADP,bei
Innovationspreis,NOUN,Innovationspreis
Berlin,PROPN,Berlin
Brandenburg,PROPN,Brandenburg
2023,NUM,2023
präsentieren,VERB,präsentieren
.,PUNCT,--
Die,DET,der
diesjährigen,ADJ,diesjährig
Teilnehmerinnen,NOUN,Teilnehmerinn
und,CCONJ,und
Teilnehmer,NOUN,Teilnehmer
haben,AUX,haben
Lust,NOUN,Lust
auf,ADP,auf
Veränderung,NOUN,Veränderung
und,CCONJ,und
wollen,AUX,wollen
die,DET,der
Zukunft,NOUN,Zukunft
trotz,ADP,trotz
aller,DET,aller
Widerstände,NOUN,Widerstand
gestalten,VERB,gestalten
.,PUNCT,--
Ich,PRON,ich
bin,AUX,sein
sicher,ADV,sicher
",",PUNCT,--
dass,SCONJ,dass
es,PRON,es
uns,PRON,uns
auch,ADV,auch
in,ADP,in
diesem,DET,dieser
Jahr,NOUN,Jahr
nicht,PART,nicht
leichtfallen,VERB,leichtfallen
wird,AUX,werden
",",PUNCT,--
unter,ADP,unter
den,DET,der
vielen,DET,vieler
guten,ADJ,gut
Einreichungen,NOUN,Einreichunge
eine,DET,ein
Wahl,NOUN,Wahl
zu,PART,zu
treffen,VERB,treffen
“,PUNCT,--
.,PUNCT,--
Der,DET,der
Innovationspreis,NOUN,Innovationspreis
ist,AUX,sein
eng,ADV,eng
verzahnt,VERB,verzahnen
mit,ADP,mit
der,DET,der
Gemeinsamen,ADJ,gemeinsam
Innovationsstrategie,NOUN,Innovationsstrategie
der,DET,der
Länder,NOUN,Land
Berlin,PROPN,Berlin
und,CCONJ,und
Brandenburg,PROPN,Brandenburg
(,PUNCT,--
innoBB,NUM,innoBB
2025,NUM,2025
),PUNCT,--
.,PUNCT,--
Beide,DET,beide
Länder,NOUN,Land
loben,VERB,loben
den,DET,der
Preis,NOUN,Preis
gemeinsam,ADV,gemeinsam
mit,ADP,mit
dem,DET,der
Ziel,NOUN,Ziel
aus,ADP,aus
",",PUNCT,--
Innovationen,NOUN,Innovation
aus,ADP,aus
den,DET,der
Clustern,NOUN,Cluster
Gesundheitswirtschaft,NOUN,Gesundheitswirtschaft
",",PUNCT,--
Energietechnik,NOUN,Energietechnik
",",PUNCT,--
IKT,PROPN,IKT
",",PUNCT,--
Medien,NOUN,Medium
und,CCONJ,und
Kreativwirtschaft,NOUN,Kreativwirtschaft
",",PUNCT,--
