Token,PoS,Lemma
Homophob,NOUN,Homophob
beleidigt,VERB,beleidigen
",",PUNCT,--
geschlagen,VERB,schlagen
und,CCONJ,und
beraubt,VERB,berauben
"
",SPACE,"
"
Nr.,NOUN,Nr.
2036,NUM,2036
Ein,DET,ein
bislang,ADV,bislang
unbekanntes,ADJ,unbekannt
Trio,NOUN,Trio
beleidigte,VERB,beleidigen
",",PUNCT,--
schlug,VERB,schlagen
und,CCONJ,und
beraubte,VERB,berauben
heute,ADV,heute
früh,ADV,früh
einen,DET,ein
Mann,NOUN,Mann
in,ADP,in
einem,DET,ein
Zug,NOUN,Zug
der,DET,der
U-Bahnlinie,NOUN,U-Bahnlinie
12.,NUM,12.
Nach,ADP,nach
bisherigen,ADJ,bisherig
Ermittlungen,NOUN,Ermittlung
stieg,VERB,steigen
der,DET,der
27-Jährige,NOUN,27-Jährige
gegen,ADP,gegen
6,NUM,6
Uhr,NOUN,Uhr
auf,ADP,auf
dem,DET,der
U-Bahnhof,NOUN,U-Bahnhof
Kurfürstenstraße,NOUN,Kurfürstenstraß
in,ADP,in
einen,DET,ein
Zug,NOUN,Zug
der,DET,der
Linie,NOUN,Linie
12,NUM,12
mit,ADP,mit
Fahrtrichtung,NOUN,Fahrtrichtung
Warschauer,ADJ,Warschauer
Straße,NOUN,Straße
.,PUNCT,--
Mit,ADP,mit
ihm,PRON,ihm
zusammen,ADV,zusammen
befanden,VERB,befinden
sich,PRON,sich
drei,NUM,drei
weitere,ADJ,weit
Männer,NOUN,Mann
im,ADP,in
Waggon,NOUN,Waggon
.,PUNCT,--
Einer,PRON,einer
dieser,DET,dieser
Männer,NOUN,Mann
ging,VERB,gehen
zwischen,ADP,zwischen
den,DET,der
Bahnhöfen,NOUN,Bahnhof
Prinzenstraße,PROPN,Prinzenstraße
und,CCONJ,und
Kottbusser,NOUN,Kottbusser
Tor,NOUN,Tor
zu,ADP,zu
dem,DET,der
27-Jährigen,NOUN,27-Jährigen
",",PUNCT,--
forderte,VERB,fordern
von,ADP,von
diesem,PRON,dieser
die,DET,der
Herausgabe,NOUN,Herausgabe
seiner,DET,sein
Wertgegenstände,NOUN,Wertgegenstand
und,CCONJ,und
beleidigte,VERB,beleidigen
ihn,PRON,ihn
homophob,VERB,homophieben
.,PUNCT,--
Diese,DET,dieser
Forderung,NOUN,Forderung
lehnte,VERB,lehnen
der,DET,der
Beleidigte,NOUN,beleidigter
ab,ADP,ab
",",PUNCT,--
woraufhin,SCONJ,woraufhin
ihn,PRON,ihn
der,DET,der
Mann,NOUN,Mann
mehrmals,ADV,mehrmals
ins,ADP,in
Gesicht,NOUN,Gesicht
schlug,VERB,schlagen
und,CCONJ,und
ihn,PRON,ihn
zu,ADP,zu
Boden,NOUN,Boden
zog,VERB,ziehen
.,PUNCT,--
Dort,ADV,dort
schlugen,VERB,schlagen
und,CCONJ,und
traten,VERB,treten
schließlich,ADV,schließlich
zwei,NUM,zwei
der,DET,der
Männer,NOUN,Mann
auf,ADP,auf
ihn,PRON,ihn
ein,ADV,ein
und,CCONJ,und
beraubten,VERB,berauben
ihn,PRON,ihn
seiner,DET,sein
Tasche,NOUN,Tasche
und,CCONJ,und
seines,DET,sein
Mobiltelefones,NOUN,Mobiltelefon
.,PUNCT,--
Am,ADP,an
U-Bahnhof,NOUN,U-Bahnhof
Kottbusser,NOUN,Kottbusser
Tor,NOUN,Tor
stiegen,VERB,steigen
sowohl,CCONJ,sowohl
der,DET,der
Beraubte,ADJ,beraubter
als,CCONJ,als
auch,ADV,auch
die,DET,der
Täter,NOUN,Täter
aus,ADP,aus
dem,DET,der
Zug,NOUN,Zug
aus,ADP,aus
.,PUNCT,--
Während,SCONJ,während
die,DET,der
Rechtsbrecher,NOUN,Rechtsbrecher
flüchteten,VERB,flüchten
",",PUNCT,--
alarmierte,VERB,alarmieren
der,DET,der
27-Jährige,NOUN,27-Jährige
die,DET,der
Polizei,NOUN,Polizei
.,PUNCT,--
Ob,SCONJ,ob
seiner,DET,sein
erlittenen,ADJ,erlitten
leichten,ADJ,leicht
Verletzungen,NOUN,Verletzung
mussten,ADJ,musst
Rettungskräfte,NOUN,Rettungskraft
hinzubeordert,VERB,hinzubeorderen
werden,AUX,werden
",",PUNCT,--
die,PRON,der
ihn,PRON,ihn
zur,ADP,zu
ambulanten,ADJ,ambulant
Behandlung,NOUN,Behandlung
in,ADP,in
ein,DET,ein
Krankenhaus,NOUN,Krankenhaus
brachten,VERB,bringen
.,PUNCT,--
Die,DET,der
weiteren,ADJ,weit
Ermittlungen,NOUN,Ermittlung
führt,VERB,führen
der,DET,der
Polizeiliche,ADJ,polizeilich
Staatsschutz,NOUN,Staatsschutz
beim,ADP,bei
Landeskriminalamt,NOUN,Landeskriminalamt
.,PUNCT,--
