Token,PoS,Lemma
Durchsuchungen,NOUN,Durchsuchung
und,CCONJ,und
Festnahmen,NOUN,Festnahme
wegen,ADP,wegen
mehrerer,DET,mehrere
schwerer,ADJ,schwer
Raubüberfälle,NOUN,Raubüberfall
"
",SPACE,"
"
Gemeinsame,ADJ,gemeinsam
Meldung,NOUN,Meldung
Polizei,NOUN,Polizei
und,CCONJ,und
Staatsanwaltschaft,NOUN,Staatsanwaltschaft
Berlin,PROPN,Berlin
Berlin,PROPN,Berlin
/,PUNCT,--
Brandenburg,PROPN,Brandenburg
/,PUNCT,--
Niedersachsen,PROPN,Niedersachsen
Nr.,NOUN,Nr.
0879,NUM,0879
In,ADP,in
den,DET,der
heutigen,ADJ,heutig
Morgenstunden,NOUN,Morgenstunde
vollstreckten,VERB,vollstrecken
etwa,ADV,etwa
300,NUM,300
Polizeieinsatzkräfte,NOUN,Polizeieinsatzkräft
drei,NUM,drei
Haftbefehle,NOUN,Haftbefehle
und,CCONJ,und
27,NUM,27
Durchsuchungsbeschlüsse,NOUN,Durchsuchungsbeschlüs
",",PUNCT,--
davon,ADV,davon
drei,NUM,drei
in,ADP,in
Brandenburg,PROPN,Brandenburg
und,CCONJ,und
Niedersachsen,PROPN,Niedersachsen
.,PUNCT,--
Gegenstand,NOUN,Gegenstand
der,DET,der
intensiven,ADJ,intensiv
und,CCONJ,und
monatelangen,ADJ,monatelang
Ermittlungen,NOUN,Ermittlung
der,DET,der
Kriminalpolizei,NOUN,Kriminalpolizei
der,DET,der
Direktion,NOUN,Direktion
2,NUM,2
(,PUNCT,--
West,X,West
),PUNCT,--
und,CCONJ,und
der,DET,der
Staatsanwaltschaft,NOUN,Staatsanwaltschaft
Berlin,PROPN,Berlin
ist,AUX,sein
eine,DET,ein
Gruppe,NOUN,Gruppe
von,ADP,von
zwölf,NUM,zwölf
Männern,NOUN,Mann
im,ADP,in
Alter,NOUN,Alter
von,ADP,von
22,NUM,22
bis,CCONJ,bis
62,NUM,62
Jahren,NOUN,Jahr
",",PUNCT,--
die,PRON,der
im,ADP,in
Verdacht,NOUN,Verdacht
stehen,VERB,stehen
",",PUNCT,--
seit,ADP,seit
2018,NUM,2018
mit,ADP,mit
unterschiedlichsten,ADJ,unterschiedlich
Tatbeteiligungen,NOUN,Tatbeteiligunge
Raubüberfälle,NOUN,Raubüberfall
in,ADP,in
Wohnungen,NOUN,Wohnung
",",PUNCT,--
Einfamilienhäuser,NOUN,Einfamilienhaus
sowie,CCONJ,sowie
einem,DET,ein
Juweliergeschäft,NOUN,Juweliergeschäft
begangen,VERB,begehen
zu,PART,zu
haben,AUX,haben
.,PUNCT,--
Teile,NOUN,Teil
des,DET,der
dabei,ADV,dabei
erbeuteten,ADJ,erbeutet
Schmucks,NOUN,Schmuck
sowie,CCONJ,sowie
mehrere,DET,mehrere
Uhren,NOUN,Uhr
sollen,AUX,sollen
sie,PRON,sie
später,ADV,spät
an,ADP,an
ein,DET,ein
Juweliergeschäft,NOUN,Juweliergeschäft
verkauft,VERB,verkaufen
haben,AUX,haben
.,PUNCT,--
Darüber,ADV,darüber
hinaus,ADP,hinaus
sollen,AUX,sollen
einige,PRON,einige
der,DET,der
Männer,NOUN,Mann
versucht,VERB,versuchen
haben,AUX,haben
",",PUNCT,--
in,ADP,in
Wohnungen,NOUN,Wohnung
einzubrechen,VERB,einzubrechen
und,CCONJ,und
ein,DET,ein
Auto,NOUN,Auto
angezündet,VERB,anzünden
haben,AUX,haben
.,PUNCT,--
Die,DET,der
Tatverdächtigen,NOUN,Tatverdächtig
sollen,AUX,sollen
bei,ADP,bei
ihren,DET,ihr
Raubzügen,NOUN,Raubzüg
äußerst,ADV,äußerst
geplant,VERB,planen
vorgegangen,VERB,vorgehen
sein,AUX,sein
und,CCONJ,und
auch,ADV,auch
nicht,PART,nicht
vor,ADP,vor
der,DET,der
Anwendung,NOUN,Anwendung
von,ADP,von
Gewalt,NOUN,Gewalt
",",PUNCT,--
unter,ADP,unter
anderem,PRON,anderer
durch,ADP,durch
Fesselung,NOUN,Fesselung
",",PUNCT,--
körperliche,ADJ,körperlich
Gewalt,NOUN,Gewalt
und,CCONJ,und
Drohungen,NOUN,Drohung
mit,ADP,mit
einer,DET,ein
Schusswaffe,NOUN,Schusswaffe
",",PUNCT,--
gegen,ADP,gegen
ihre,DET,ihr
Opfer,NOUN,Opfer
zurückgeschreckt,VERB,zurückgeschreckt
sein,AUX,sein
.,PUNCT,--
So,ADV,so
sollen,AUX,sollen
die,DET,der
Männer,NOUN,Mann
oft,ADV,oft
mit,ADP,mit
polizeiuniformähnlicher,ADJ,polizeiuniformähnlich
Bekleidung,NOUN,Bekleidung
aufgetreten,VERB,auftreten
sein,AUX,sein
",",PUNCT,--
welche,PRON,welcher
auf,ADP,auf
die,DET,der
Ausgeraubten,NOUN,Ausgeraubt
sehr,ADV,sehr
authentisch,ADV,authentisch
und,CCONJ,und
glaubhaft,ADV,glaubhaft
gewirkt,VERB,wirken
habe,AUX,haben
.,PUNCT,--
