Token,PoS,Lemma
Michael,PROPN,Michael
Müller,PROPN,Müller
zu,ADP,zu
den,DET,der
Ergebnissen,NOUN,Ergebnis
der,DET,der
Berliner,ADJ,Berliner
Exzellenzcluster-Anträge,NOUN,Exzellenzcluster-Antrag
"
",SPACE,"
"
Heute,ADV,heute
hat,AUX,haben
die,DET,der
Exzellenzkommission,NOUN,Exzellenzkommission
in,ADP,in
Bonn,PROPN,Bonn
über,ADP,über
die,DET,der
Förderung,NOUN,Förderung
von,ADP,von
Exzellenzclustern,NOUN,Exzellenzcluster
im,ADP,in
Rahmen,NOUN,Rahmen
der,DET,der
Exzellenzstrategie,NOUN,Exzellenzstrategie
des,DET,der
Bundes,NOUN,Bund
und,CCONJ,und
der,DET,der
Länder,NOUN,Land
entschieden,VERB,entscheiden
.,PUNCT,--
Grundlage,NOUN,Grundlage
für,ADP,für
die,DET,der
Entscheidung,NOUN,Entscheidung
waren,AUX,sein
wissenschaftliche,ADJ,wissenschaftlich
Begutachtungen,NOUN,Begutachtung
der,DET,der
88,NUM,88
bundesweit,ADV,bundesweit
eingereichten,ADJ,eingereicht
Förderanträge,NOUN,Förderantrag
durch,ADP,durch
ein,DET,ein
internationales,ADJ,international
Expertengremium,NOUN,Expertengremium
.,PUNCT,--
Aus,ADP,aus
Berlin,PROPN,Berlin
lagen,VERB,liegen
neun,NUM,neun
Anträge,NOUN,Antrag
vor,ADP,vor
",",PUNCT,--
davon,ADV,davon
wurden,AUX,werden
heute,ADV,heute
sieben,NUM,sieben
zur,ADP,zu
Förderung,NOUN,Förderung
empfohlen,VERB,empfehlen
.,PUNCT,--
Damit,ADV,damit
liegt,VERB,liegen
die,DET,der
Bewilligungsquote,NOUN,Bewilligungsquote
für,ADP,für
Berlin,PROPN,Berlin
über,ADP,über
dem,DET,der
Bundesdurchschnitt,NOUN,Bundesdurchschnitt
.,PUNCT,--
Michael,PROPN,Michael
Müller,PROPN,Müller
",",PUNCT,--
Regierender,ADJ,Regierend
Bürgermeister,NOUN,Bürgermeister
von,ADP,von
Berlin,PROPN,Berlin
und,CCONJ,und
Senator,NOUN,Senator
für,ADP,für
Wissenschaft,NOUN,Wissenschaft
und,CCONJ,und
Forschung,NOUN,Forschung
",",PUNCT,--
gratuliert,VERB,gratuliert
:,PUNCT,--
„,PUNCT,--
Das,DET,der
Ergebnis,NOUN,Ergebnis
ist,AUX,sein
ein,DET,ein
Ausrufezeichen,NOUN,Ausrufezeichen
!,PUNCT,--
Berlin,PROPN,Berlin
ist,AUX,sein
die,DET,der
deutsche,ADJ,deutsch
Nummer,NOUN,Nummer
eins,NUM,eins
der,DET,der
Spitzenforschung,NOUN,Spitzenforschung
.,PUNCT,--
Und,CCONJ,und
das,DET,der
in,ADP,in
der,DET,der
ganzen,ADJ,ganz
Bandbreite,NOUN,Bandbreite
:,PUNCT,--
Von,ADP,von
den,DET,der
Geistes-,X,Geist
und,CCONJ,und
Sozialwissenschaften,NOUN,Sozialwissenschaft
",",PUNCT,--
über,ADP,über
die,DET,der
Mathematik,NOUN,Mathematik
",",PUNCT,--
Chemie,NOUN,Chemie
",",PUNCT,--
Medizin,NOUN,Medizin
und,CCONJ,und
Lebenswissenschaften,NOUN,Lebenswissenschaft
bis,ADP,bis
hin,ADV,hin
zu,ADP,zu
den,DET,der
Ingenieurwissenschaften,NOUN,Ingenieurwissenschaft
