Token,PoS,Lemma
Straßenbahnstrecke,NOUN,Straßenbahnstrecke
zwischen,ADP,zwischen
Jungfernheide,NOUN,Jungfernheid
und,CCONJ,und
Kurt-Schumacher-Platz,NOUN,Kurt-Schumacher-Platz
beschlossen,VERB,beschließen
"
",SPACE,"
"
Aus,ADP,aus
der,DET,der
Situng,NOUN,Situng
des,DET,der
Senats,NOUN,Senat
am,ADP,an
9.,ADJ,9.
Januar,NOUN,Januar
2024,NUM,2024
:,PUNCT,--
In,ADP,in
seiner,DET,sein
heutigen,ADJ,heutig
Sitzung,NOUN,Sitzung
hat,AUX,haben
der,DET,der
Senat,NOUN,Senat
auf,ADP,auf
Vorlage,NOUN,Vorlage
der,DET,der
Senatorin,NOUN,Senatorin
für,ADP,für
Mobilität,NOUN,Mobilität
",",PUNCT,--
Verkehr,NOUN,Verkehr
",",PUNCT,--
Klimaschutz,NOUN,Klimaschutz
und,CCONJ,und
Umwelt,NOUN,Umwelt
",",PUNCT,--
Manja,PROPN,Manja
Schreiner,PROPN,Schreiner
",",PUNCT,--
die,DET,der
Fortführung,NOUN,Fortführung
der,DET,der
Planungen,NOUN,Planung
der,DET,der
Straßenbahnlinie,NOUN,Straßenbahnlinie
ab,ADP,ab
Jungfernheide,NOUN,Jungfernheid
in,ADP,in
Richtung,NOUN,Richtung
Norden,NOUN,Norden
über,ADP,über
die,DET,der
Urban,NOUN,Urban
Tech,PROPN,Tech
Republic,PROPN,Republic
bis,ADP,bis
zum,ADP,zu
Kurt-Schumacher-Platz,NOUN,Kurt-Schumacher-Platz
im,ADP,in
Bezirk,NOUN,Bezirk
Reinickendorf,PROPN,Reinickendorf
beschlossen,VERB,beschließen
.,PUNCT,--
Nach,ADP,nach
der,DET,der
nun,ADV,nun
abgeschlossenen,ADJ,abgeschlossen
Grundlagenermittlung,NOUN,Grundlagenermittlung
folgen,VERB,folgen
weitere,ADJ,weit
Planungsschritte,NOUN,Planungsschritte
(,PUNCT,--
u.,ADP,u.
a.,PRON,a.
Vorplanung,NOUN,Vorplanung
und,CCONJ,und
