Token,PoS,Lemma
Kraftfahrzeuge,NOUN,Kraftfahrzeug
brannten,VERB,brannen
"
",SPACE,"
"
Zu,ADP,zu
Fahrzeugbränden,NOUN,Fahrzeugbrand
in,ADP,in
Neukölln,PROPN,Neukölln
",",PUNCT,--
Adlershof,PROPN,Adlershof
und,CCONJ,und
Haselhorst,PROPN,Haselhorst
hat,AUX,haben
inzwischen,ADV,inzwischen
ein,DET,ein
Fachkommissariat,NOUN,Fachkommissariat
für,ADP,für
Branddelikte,NOUN,Branddelikt
beim,ADP,bei
Landeskriminalamt,NOUN,Landeskriminalamt
die,DET,der
noch,ADV,noch
andauernden,ADJ,andauernd
Ermittlungen,NOUN,Ermittlung
übernommen,VERB,übernehmen
.,PUNCT,--
Nr.,NOUN,Nr.
1700,NUM,1700
Eine,DET,ein
Anwohnerin,NOUN,Anwohnerin
der,DET,der
Elsterstraße,NOUN,Elsterstraße
hatte,AUX,haben
gegen,ADP,gegen
23,NUM,23
Uhr,NOUN,Uhr
einen,DET,ein
Brand,NOUN,Brand
an,ADP,an
einem,DET,ein
geparkten,ADJ,geparkt
Mercedes,PROPN,Mercedes
bemerkt,VERB,bemerken
und,CCONJ,und
die,DET,der
Feuerwehr,NOUN,Feuerwehr
alarmiert,VERB,alarmieren
.,PUNCT,--
Die,DET,der
Brandbekämpfer,NOUN,Brandbekämpfer
löschten,VERB,löschen
die,DET,der
Flammen,NOUN,Flamme
.,PUNCT,--
Der,DET,der
Pkw,NOUN,Pkw
wurde,AUX,werden
im,ADP,in
Bereich,NOUN,Bereich
des,DET,der
vorderen,ADJ,vorder
linken,ADJ,linker
Rades,NOUN,Rad
beschädigt,VERB,beschädigen
.,PUNCT,--
Weitere,ADJ,weit
Fahrzeuge,NOUN,Fahrzeug
wurden,AUX,werden
nicht,PART,nicht
in,ADP,in
Mitleidenschaft,NOUN,Mitleidenschaft
gezogen,VERB,ziehen
",",PUNCT,--
verletzt,VERB,verletzen
wurde,AUX,werden
niemand,PRON,niemand
.,PUNCT,--
Nr.,NOUN,Nr.
1701,NUM,1701
Passanten,NOUN,Passant
bemerkten,VERB,bemerken
kurz,ADV,kurz
vor,ADP,vor
3,NUM,3
Uhr,NOUN,Uhr
Flammen,NOUN,Flamme
im,ADP,in
Innenraum,NOUN,Innenraum
eines,DET,ein
in,ADP,in
der,DET,der
Dörpfeldstraße,NOUN,Dörpfeldstraße
abgestellten,ADJ,abgestellt
Kia,PROPN,Kia
.,PUNCT,--
Nachdem,SCONJ,nachdem
die,DET,der
alarmierten,ADJ,alarmiert
Kräfte,NOUN,Kraft
der,DET,der
Feuerwehr,NOUN,Feuerwehr
den,DET,der
Brand,NOUN,Brand
im,ADP,in
Innern,NOUN,innere
des,DET,der
Fahrzeugs,NOUN,Fahrzeug
gelöscht,VERB,löschen
hatten,AUX,haben
",",PUNCT,--
wurde,AUX,werden
festgestellt,VERB,feststellen
",",PUNCT,--
dass,SCONJ,dass
die,DET,der
Türen,NOUN,Tür
des,DET,der
Pkw,NOUN,Pkw
ältere,ADJ,alt
Unfallschäden,NOUN,Unfallschäde
aufwiesen,VERB,aufweisen
und,CCONJ,und
nicht,PART,nicht
zugeschlossen,ADV,zugeschlossen
waren,AUX,sein
.,PUNCT,--
Personen,NOUN,Person
wurden,AUX,werden
nicht,PART,nicht
verletzt,VERB,verletzen
.,PUNCT,--
Nr.,NOUN,Nr.
1702,NUM,1702
Eine,DET,ein
Streife,NOUN,Streif
der,DET,der
Polizei,NOUN,Polizei
bemerkte,VERB,bemerken
gegen,ADP,gegen
3,NUM,3
Uhr,NOUN,Uhr
einen,DET,ein
in,ADP,in
Flammen,NOUN,Flamme
stehenden,ADJ,stehend
Transporter,NOUN,Transporter
in,ADP,in
der,DET,der
Nonnendammallee,NOUN,Nonnendammallee
.,PUNCT,--
Das,DET,der
Löschen,NOUN,Löschen
der,DET,der
Flammen,NOUN,Flamme
an,ADP,an
dem,DET,der
geparkten,ADJ,geparkt
Lieferfahrzeug,NOUN,Lieferfahrzeug
war,AUX,sein
den,DET,der
Einsatzkräften,NOUN,Einsatzkräft
mit,ADP,mit
ihren,DET,ihr
Feuerlöschern,NOUN,Feuerlöscher
nicht,PART,nicht
möglich,ADV,möglich
.,PUNCT,--
Bis,SCONJ,bis
die,DET,der
angeforderte,ADJ,angefordert
Feuerwehr,NOUN,Feuerwehr
den,DET,der
Brand,NOUN,Brand
vollständig,ADV,vollständig
bekämpft,VERB,bekämpfen
hatte,AUX,haben
",",PUNCT,--
war,AUX,sein
das,DET,der
Fahrzeug,NOUN,Fahrzeug
fast,ADV,fast
vollständig,ADV,vollständig
durch,ADP,durch
das,DET,der
Feuer,NOUN,Feuer
zerstört,VERB,zerstören
.,PUNCT,--
Verletzt,VERB,verletzen
wurde,AUX,werden
niemand,PRON,niemand
.,PUNCT,--
