Token,PoS,Lemma
Presseeinladung,NOUN,Presseeinladung
:,PUNCT,--
Fototermin,NOUN,Fototermin
zur,ADP,zu
symbolischen,ADJ,symbolisch
Übergabe,NOUN,Übergabe
der,DET,der
Schulwegpläne,NOUN,Schulwegplan
an,ADP,an
die,DET,der
Teltow-Grundschule,NOUN,Teltow-Grundschule
und,CCONJ,und
Gespräch,NOUN,Gespräch
über,ADP,über
die,DET,der
Schulwegsicherheit,NOUN,Schulwegsicherheit
der,DET,der
Grundschüler_innen,NOUN,Grundschüler_inne
in,ADP,in
Tempelhof-Schöneberg,PROPN,Tempelhof-Schöneberg
"
",SPACE,"
"
Anlässlich,NOUN,Anlässlich
der,DET,der
diesjährigen,ADJ,diesjährig
Aktionstage,NOUN,Aktionstage
“,PUNCT,--
Zu,ADP,zu
Fuß,NOUN,Fuß
zur,ADP,zu
Schule,NOUN,Schule
”,PUNCT,”
übergibt,VERB,übergeben
Schulstadtrat,NOUN,Schulstadtrat
Oliver,PROPN,Oliver
Schworck,PROPN,Schworck
symbolisch,ADV,symbolisch
einen,DET,ein
Schulwegplan,NOUN,Schulwegplan
für,ADP,für
den,DET,der
Einschulungsbereich,NOUN,Einschulungsbereich
der,DET,der
Teltow-Grundschule,NOUN,Teltow-Grundschule
an,ADP,an
die,DET,der
Leiterin,NOUN,Leiterin
der,DET,der
Grundschule,NOUN,Grundschule
Antje,PROPN,Antje
Merten,NOUN,Merte
.,PUNCT,--
Im,ADP,in
Anschluss,PROPN,Anschluss
findet,VERB,finden
ein,DET,ein
Gespräch,NOUN,Gespräch
über,ADP,über
das,DET,der
Thema,NOUN,Thema
Schulwegsicherheit,NOUN,Schulwegsicherheit
statt,ADV,statt
",",PUNCT,--
bei,ADP,bei
dem,PRON,der
u.a.,NOUN,u.a.
die,DET,der
Schulleiterin,NOUN,Schulleiterin
über,ADP,über
die,DET,der
bisherigen,ADJ,bisherig
Erfahrungen,NOUN,Erfahrung
mit,ADP,mit
der,DET,der
Nutzung,NOUN,Nutzung
dieser,DET,dieser
Schulwegpläne,NOUN,Schulwegplan
berichtet,VERB,berichten
.,PUNCT,--
Die,DET,der
Schulwegpläne,NOUN,Schulwegplan
werden,AUX,werden
in,ADP,in
einem,DET,ein
vom,ADP,von
Jobcenter,NOUN,Jobcenter
geförderten,ADJ,gefördert
Projekt,NOUN,Projekt
von,ADP,von
der,DET,der
CÖGA,PROPN,CÖGA
gGmbH,NOUN,gGmbH
erstellt,VERB,erstellen
.,PUNCT,--
Der,DET,der
Druck,NOUN,Druck
der,DET,der
Schulwegpläne,NOUN,Schulwegplan
wird,AUX,werden
von,ADP,von
der,DET,der
Sparkasse,NOUN,Sparkasse
gesponsert,VERB,sponsern
.,PUNCT,--
Der,DET,der
Stadtrat,NOUN,Stadtrat
hat,AUX,haben
die,DET,der
für,ADP,für
jede,DET,jeder
Grundschule,NOUN,Grundschule
individuell,ADV,individuell
erarbeiteten,ADJ,erarbeitet
Schulwegpläne,NOUN,Schulwegplan
allen,DET,aller
Grundschulen,NOUN,Grundschule
des,DET,der
Bezirks,NOUN,Bezirk
bereits,ADV,bereits
während,ADP,während
der,DET,der
Sommerferien,NOUN,Sommerferien
zur,ADP,zu
Verfügung,NOUN,Verfügung
gestellt,VERB,stellen
",",PUNCT,--
damit,SCONJ,damit
die,DET,der
Schulanfänger_innen,NOUN,Schulanfänger_innen
ihren,DET,ihr
jeweiligen,ADJ,jeweilig
Plan,NOUN,Plan
pünktlich,ADV,pünktlich
zum,ADP,zu
1.,ADJ,1.
Schultag,NOUN,Schultag
erhalten,VERB,erhalten
konnten,AUX,können
.,PUNCT,--
Vor,ADP,vor
allem,PRON,alle
für,ADP,für
die,DET,der
Erstklässler_innen,PUNCT,Erstklässler_innen
ist,AUX,sein
es,PRON,es
eine,DET,ein
große,ADJ,groß
Herausforderung,NOUN,Herausforderung
",",PUNCT,--
mit,ADP,mit
den,DET,der
komplexen,ADJ,komplex
Situationen,NOUN,Situation
des,DET,der
Straßenverkehrs,NOUN,Straßenverkehr
zurecht,ADV,zurecht
zu,PART,zu
kommen,VERB,kommen
.,PUNCT,--
Für,ADP,für
sie,PRON,sie
ist,AUX,sein
der,DET,der
Schulweg,NOUN,Schulweg
meist,ADV,meist
die,DET,der
erste,ADJ,erster
aktive,ADJ,aktiv
",",PUNCT,--
regelmäßige,ADJ,regelmäßig
und,CCONJ,und
eigenständige,ADJ,eigenständig
Teilnahme,NOUN,Teilnahme
am,ADP,an
Straßenverkehr,NOUN,Straßenverkehr
.,PUNCT,--
Als,ADP,als
leicht,ADV,leicht
verständliche,ADJ,verständlich
Hilfestellung,NOUN,Hilfestellung
zur,ADP,zu
Auseinandersetzung,NOUN,Auseinandersetzung
mit,ADP,mit
dem,DET,der
Gefährdungsrisiko,NOUN,Gefährdungsrisiko
unterstützt,VERB,unterstützen
Oliver,PROPN,Oliver
Schworck,PROPN,Schworck
deshalb,ADV,deshalb
das,DET,der
Projekt,NOUN,Projekt
zur,ADP,zu
Erstellung,NOUN,Erstellung
der,DET,der
Schulwegpläne,NOUN,Schulwegplan
.,PUNCT,--
