Token,PoS,Lemma
Wiederaufbau,NOUN,Wiederaufbau
des,DET,der
Kirchturms,NOUN,Kirchturm
für,ADP,für
die,DET,der
Krankenhauskirche,NOUN,Krankenhauskirche
im,ADP,in
Wuhlgarten,NOUN,Wuhlgart
hat,AUX,haben
begonnen,VERB,beginnen
"
",SPACE,"
"
Jetzt,ADV,jetzt
",",PUNCT,--
14,NUM,14
Jahre,NOUN,Jahr
nach,ADP,nach
der,DET,der
Wiedereinweihung,NOUN,Wiedereinweihung
der,DET,der
Krankenhauskirche,NOUN,Krankenhauskirche
im,ADP,in
Wuhlgarten,NOUN,Wuhlgart
",",PUNCT,--
Brebacher,ADJ,Brebacher
Weg,NOUN,Weg
15,NUM,15
",",PUNCT,--
12683,NUM,12683
Berlin,PROPN,Berlin
",",PUNCT,--
konnte,AUX,können
nun,ADV,nun
endlich,ADV,endlich
auch,ADV,auch
mit,ADP,mit
der,DET,der
Sanierung,NOUN,Sanierung
und,CCONJ,und
dem,DET,der
Wiederaufbau,NOUN,Wiederaufbau
des,DET,der
Kirchturms,NOUN,Kirchturm
begonnen,VERB,beginnen
werden,AUX,werden
.,PUNCT,--
Als,SCONJ,als
die,DET,der
Kirche,NOUN,Kirche
in,ADP,in
den,DET,der
neunziger,ADJ,neunziger
Jahren,NOUN,Jahr
mit,ADP,mit
großem,ADJ,groß
technischen,ADJ,technisch
",",PUNCT,--
künstlerischen,ADJ,künstlerisch
und,CCONJ,und
vor,ADP,vor
allem,PRON,alle
finanziellen,ADJ,finanziell
Aufwand,NOUN,Aufwand
wiederaufgebaut,VERB,wiederaufgebaut
wurde,AUX,werden
",",PUNCT,--
blieb,VERB,bleiben
der,DET,der
Turm,NOUN,Turm
sozusagen,ADV,sozusagen
noch,ADV,noch
außen,ADV,außen
vor,ADP,vor
.,PUNCT,--
Das,DET,der
Geld,NOUN,Geld
reichte,VERB,reichen
damals,ADV,damals
nicht,PART,nicht
",",PUNCT,--
um,SCONJ,um
auch,ADV,auch
ihn,PRON,ihn
gleich,ADV,gleich
mit,ADP,mit
aufzubauen,VERB,aufbauen
.,PUNCT,--
So,ADV,so
blieb,VERB,bleiben
er,PRON,er
bis,ADP,bis
heute,ADV,heute
eine,DET,ein
Ruine,NOUN,Ruine
.,PUNCT,--
Doch,CCONJ,doch
die,DET,der
14,NUM,14
Jahre,NOUN,Jahr
waren,AUX,sein
keine,DET,kein
Zeit,NOUN,Zeit
des,DET,der
geduldigen,ADJ,geduldig
Wartens,NOUN,Warten
",",PUNCT,--
sondern,CCONJ,sondern
Jahre,NOUN,Jahr
",",PUNCT,--
Monate,NOUN,Monat
",",PUNCT,--
Wochen,NOUN,Woche
aktiver,ADJ,aktiv
Bemühungen,NOUN,Bemühung
",",PUNCT,--
die,DET,der
nötigen,ADJ,nötig
Mittel,NOUN,Mittel
durch,ADP,durch
Sponsoren,NOUN,Sponsor
und,CCONJ,und
Spenden,NOUN,Spende
zu,PART,zu
beschaffen,VERB,beschaffen
.,PUNCT,--
Das,DET,der
Vivantes,ADJ,Vivant
Klinikum,NOUN,Klinikum
",",PUNCT,--
zu,ADP,zu
dem,PRON,der
die,DET,der
Krankenhauskirche,NOUN,Krankenhauskirche
bis,ADP,bis
vor,ADP,vor
