Token,PoS,Lemma
Mehrere,DET,mehrere
Autos,NOUN,Auto
in,ADP,in
Flammen,NOUN,Flamme
"
",SPACE,"
"
Nr.,NOUN,Nr.
0770,NUM,0770
Zeugen,NOUN,Zeuge
alarmierten,VERB,alarmierten
die,DET,der
Feuerwehr,NOUN,Feuerwehr
vergangene,ADJ,vergangen
Nacht,NOUN,Nacht
nach,ADP,nach
Friedrichsfelde,PROPN,Friedrichsfelde
.,PUNCT,--
Kurz,ADV,kurz
vor,ADP,vor
Mitternacht,NOUN,Mitternacht
bemerkten,VERB,bemerken
sie,PRON,sie
einen,DET,ein
lauten,ADJ,laut
Knall,NOUN,Knall
auf,ADP,auf
einem,DET,ein
Parkplatz,NOUN,Parkplatz
an,ADP,an
der,DET,der
Mellenseestraße,NOUN,Mellenseestraße
und,CCONJ,und
sahen,VERB,sehen
kurz,ADV,kurz
darauf,ADV,darauf
einen,DET,ein
Renault,NOUN,Renault
in,ADP,in
Flammen,NOUN,Flamme
stehen,VERB,stehen
.,PUNCT,--
Bevor,SCONJ,bevor
die,DET,der
alarmierten,ADJ,alarmiert
Brandbekämpfer,NOUN,Brandbekämpfer
der,DET,der
Feuerwehr,NOUN,Feuerwehr
eintrafen,VERB,eintreffen
",",PUNCT,--
griff,VERB,greifen
das,DET,der
Feuer,NOUN,Feuer
auf,ADP,auf
zwei,NUM,zwei
weitere,ADJ,weit
Autos,NOUN,Auto
über,ADP,über
",",PUNCT,--
einen,DET,ein
Fiat,NOUN,Fiat
und,CCONJ,und
einen,DET,ein
Mercedes,PROPN,Mercedes
.,PUNCT,--
Durch,ADP,durch
die,DET,der
Hitze,NOUN,Hitze
des,DET,der
Brandes,NOUN,Brand
des,DET,der
Mercedes,NOUN,Merced
wurde,AUX,werden
zudem,ADV,zudem
ein,DET,ein
danebenstehender,ADJ,danebenstehender
VW,NOUN,VW
Transporter,PROPN,Transporter
beschädigt,VERB,beschädigen
.,PUNCT,--
Die,DET,der
Feuerwehr,NOUN,Feuerwehr
löschte,VERB,löschen
die,DET,der
Brände,NOUN,Brand
",",PUNCT,--
konnte,AUX,können
jedoch,ADV,jedoch
nicht,PART,nicht
mehr,ADV,mehr
verhindern,VERB,verhindern
",",PUNCT,--
dass,SCONJ,dass
der,DET,der
Renault,PROPN,Renault
und,CCONJ,und
der,DET,der
Mercedes,PROPN,Mercedes
vollständig,ADV,vollständig
ausbrannten,VERB,ausbrannten
.,PUNCT,--
Die,DET,der
Ermittlungen,NOUN,Ermittlung
zum,ADP,zu
Verdacht,NOUN,Verdacht
der,DET,der
Brandstiftung,NOUN,Brandstiftung
übernahm,VERB,übernehmen
ein,DET,ein
Brandkommissariat,NOUN,Brandkommissariat
des,DET,der
Landeskriminalamtes,NOUN,Landeskriminalamt
.,PUNCT,--
