Token,PoS,Lemma
Abbau,NOUN,Abbau
der,DET,der
Parklets,NOUN,Parklet
in,ADP,in
der,DET,der
Bergmannstraße,NOUN,Bergmannstraße
"
",SPACE,"
"
Mit,ADP,mit
Ende,NOUN,Ende
der,DET,der
Test-,X,Test
und,CCONJ,und
Evaluierungsphase,NOUN,Evaluierungsphase
der,DET,der
Begegnungszone,NOUN,Begegnungszon
in,ADP,in
der,DET,der
Bergmannstraße,NOUN,Bergmannstraße
beginnen,VERB,beginnen
in,ADP,in
der,DET,der
Kalenderwoche,NOUN,Kalenderwoche
39,NUM,39
die,DET,der
Rückbauarbeiten,NOUN,Rückbauarbeite
.,PUNCT,--
Im,ADP,in
Laufe,NOUN,Lauf
von,ADP,von
drei,NUM,drei
Wochen,NOUN,Woche
werden,AUX,werden
die,DET,der
Parklets,NOUN,Parklet
abgebaut,VERB,abbauen
und,CCONJ,und
abtransportiert,VERB,abtransportieren
und,CCONJ,und
die,DET,der
grünen,ADJ,grün
Punkte,NOUN,Punkt
auf,ADP,auf
der,DET,der
Fahrbahn,NOUN,Fahrbahn
entfernt,ADV,entfernen
.,PUNCT,--
Damit,ADV,damit
setzt,VERB,setzen
das,DET,der
Bezirksamt,NOUN,Bezirksamt
den,DET,der
Beschluss,PROPN,Beschluss
DS,PROPN,DS
/,PUNCT,/
1105,NUM,1105
-,NUM,-
02,NUM,02
/,PUNCT,--
V,X,V
der,DET,der
Bezirksverordnetenversammlung,NOUN,Bezirksverordnetenversammlung
um,ADP,um
.,PUNCT,--
In,ADP,in
den,DET,der
vergangenen,ADJ,vergangen
Wochen,NOUN,Woche
und,CCONJ,und
Monaten,NOUN,Monat
hatte,AUX,haben
im,ADP,in
Rahmen,NOUN,Rahmen
der,DET,der
Evaluierungsphase,NOUN,Evaluierungsphase
eine,DET,ein
umfangreiche,ADJ,umfangreich
Bürger*innenbeteiligung,NOUN,Bürger*innenbeteiligung
stattgefunden,VERB,stattfinden
.,PUNCT,--
Im,ADP,in
Mai,NOUN,Mai
gab,VERB,geben
es,PRON,es
eine,DET,ein
öffentliche,ADJ,öffentlich
Bürger*innenwerkstatt,NOUN,Bürger*innenwerkstatt
im,ADP,in
Columbiatheater,NOUN,Columbiatheater
",",PUNCT,--
bei,ADP,bei
der,PRON,der
Bürger*innen,NOUN,Bürger*inn
ihre,DET,ihr
Meinung,NOUN,Meinung
und,CCONJ,und
Ideen,NOUN,Idee
zur,ADP,zu
aktuellen,ADJ,aktuell
und,CCONJ,und
künftigen,ADJ,künftig
verkehrlichen,ADJ,verkehrlich
Gestaltung,NOUN,Gestaltung
der,DET,der
Bergmannstraße,NOUN,Bergmannstraße
einbringen,VERB,einbringen
konnten,AUX,können
.,PUNCT,--
Im,ADP,in
Anschluss,PROPN,Anschluss
daran,ADV,daran
wurden,AUX,werden
in,ADP,in
einer,DET,ein
Haushaltsbefragung,NOUN,Haushaltsbefragung
4.000,NUM,4.000
Haushalte,NOUN,Haushalt
und,CCONJ,und
Gewerbetreibende,NOUN,Gewerbetreibend
in,ADP,in
der,DET,der
Bergmannstraße,NOUN,Bergmannstraße
und,CCONJ,und
Umgebung,NOUN,Umgebung
angeschrieben,VERB,anschreiben
.,PUNCT,--
Im,ADP,in
Sommer,NOUN,Sommer
gab,VERB,geben
es,PRON,es
zwei,NUM,zwei
weitere,ADJ,weit
Bürger*innenwerkstätten,NOUN,Bürger*innenwerkstätt
",",PUNCT,--
bei,ADP,bei
denen,PRON,der
verschiedene,ADJ,verschieden
Gestaltungsvarianten,NOUN,Gestaltungsvariant
entwickelt,VERB,entwickeln
wurden,AUX,werden
.,PUNCT,--
Vor,ADP,vor
Ort,NOUN,Ort
wurde,AUX,werden
in,ADP,in
der,DET,der
Evaluationsphase,NOUN,Evaluationsphase
durch,ADP,durch
Aufstellen,NOUN,Aufstelle
von,ADP,von
Schaubildern,NOUN,Schaubilder
mit,ADP,mit
den,DET,der
Ergebnissen,NOUN,Ergebnis
der,DET,der
Bürger*innenwerkstätten,NOUN,Bürger*innenwerkstätt
sichtbar,ADV,sichtbar
.,PUNCT,--
Anwohner*innen,VERB,Anwohner*in
und,CCONJ,und
Nutzer*innen,NOUN,Nutzer*in
der,DET,der
Bergmannstraße,NOUN,Bergmannstraße
können,AUX,können
im,ADP,in
Rahmen,NOUN,Rahmen
der,DET,der
zweiten,ADJ,zweiter
Onlinebeteiligung,NOUN,Onlinebeteiligung
ihre,DET,ihr
Stimme,NOUN,Stimme
zu,ADP,zu
den,DET,der
Ergebnissen,NOUN,Ergebnis
der,DET,der
Bürger*innenwerkstätten,NOUN,Bürger*innenwerkstätt
abgeben,VERB,abgeben
.,PUNCT,--
Die,DET,der
in,ADP,in
den,DET,der
Bürger*innenwerkstätten,NOUN,Bürger*innenwerkstätt
sowie,CCONJ,sowie
den,DET,der
anderen,ADJ,anderer
Beteiligungsformaten,NOUN,Beteiligungsformat
geäußerten,ADJ,geäußert
Wünsche,NOUN,Wunsch
und,CCONJ,und
Ergebnisse,NOUN,Ergebnis
werden,AUX,werden
2020,NUM,2020
der,DET,der
BVV,PROPN,BVV
vorgelegt,VERB,vorlegen
",",PUNCT,--
damit,SCONJ,damit
diese,PRON,dieser
über,ADP,über
die,DET,der
künftige,ADJ,künftig
dauerhafte,ADJ,dauerhaft
Gestaltung,NOUN,Gestaltung
der,DET,der
Bergmannstraße,NOUN,Bergmannstraße
entscheiden,VERB,entscheiden
kann,AUX,können
.,PUNCT,--
Alle,DET,aller
Informationen,NOUN,Information
zur,ADP,zu
Testphase,NOUN,Testphase
und,CCONJ,und
Evaluation,NOUN,Evaluation
der,DET,der
Begegnungszone,NOUN,Begegnungszon
Bergmannstraße,PROPN,Bergmannstraß
haben,AUX,haben
wir,PRON,wir
auf,ADP,auf
unserer,DET,unser
Webseite,NOUN,Webseite
zusammengestellt,VERB,zusammenstellen
.,PUNCT,--
Ansprechpartnerin,NOUN,Ansprechpartnerin
Sara,PROPN,Sara
Lühmann,PROPN,Lühmann
Pressesprecherin,NOUN,Pressesprecherin
Telefon,NOUN,Telefon
:,PUNCT,--
(,PUNCT,--
030,NUM,030
),PUNCT,--
90298,NUM,90298
-,NUM,-
2843,NUM,2843
