Token,PoS,Lemma
Handel,NOUN,Handel
",",PUNCT,--
Wandel,NOUN,Wandel
",",PUNCT,--
Kunst,NOUN,Kunst
&,CCONJ,&
Trödel,NOUN,Trödel
-,PUNCT,--
Das,DET,der
28.,ADJ,28.
Fest,NOUN,Fest
auf,ADP,auf
der,DET,der
Bölsche,NOUN,Bölsche
am,ADP,an
12.,ADJ,12.
und,CCONJ,und
13.,ADJ,13.
Mai,NOUN,Mai
"
",SPACE,"
"
Das,DET,der
Bezirksamt,NOUN,Bezirksamt
weist,VERB,weisen
auf,ADP,auf
folgenden,ADJ,folgend
Veranstaltungshinweis,NOUN,Veranstaltungshinweis
der,DET,der
Werbegemeinschaft,NOUN,Werbegemeinschaft
Friedrichshagen,NOUN,Friedrichshagen
e.V.,PROPN,e.V.
hin,ADV,hin
:,PUNCT,--
Einmal,ADV,einmal
im,ADP,in
Jahr,NOUN,Jahr
",",PUNCT,--
immer,ADV,immer
am,ADP,an
2.,ADJ,2.
Wochenende,NOUN,Wochenende
im,ADP,in
Mai,NOUN,Mai
",",PUNCT,--
verwandelt,VERB,verwandeln
sich,PRON,sich
die,DET,der
„,PUNCT,--
Bölsche,NOUN,Bölsche
“,PUNCT,--
in,ADP,in
eine,DET,ein
Festmeile,NOUN,Festmeil
mit,ADP,mit
Handel,NOUN,Handel
",",PUNCT,--
Wandel,NOUN,Wandel
",",PUNCT,--
Kunst,NOUN,Kunst
&,CCONJ,&
Trödel,NOUN,Trödel
",",PUNCT,--
Show,NOUN,Show
und,CCONJ,und
viel,DET,viel
Musik,NOUN,Musik
.,PUNCT,--
Auf,ADP,auf
der,DET,der
"1,2",NUM,"1,2"
km,NOUN,km
langen,ADJ,lang
Bummelmeile,NOUN,Bummelmeil
zwischen,ADP,zwischen
S-Bahnhof,PROPN,S-Bahnhof
und,CCONJ,und
Müggelsee,PROPN,Müggelsee
gibt,VERB,geben
es,PRON,es
ein,DET,ein
buntes,ADJ,bunt
Markttreiben,NOUN,Markttreiben
mit,ADP,mit
besonderen,ADJ,besonderer
Angeboten,NOUN,Angebot
",",PUNCT,--
Informationen,NOUN,Information
und,CCONJ,und
leckeren,ADJ,lecker
Spezialitäten,NOUN,Spezialität
.,PUNCT,--
Zudem,ADV,zudem
lockt,VERB,locken
die,DET,der
große,ADJ,groß
Trödelmeile,NOUN,Trödelmeil
im,ADP,in
südlichen,ADJ,südlich
Bereich,NOUN,Bereich
zum,ADP,zu
Stöbern,NOUN,Stöber
und,CCONJ,und
