Token,PoS,Lemma
Grünflächenamt,NOUN,Grünflächenamt
beseitigt,VERB,beseitigen
Gefahrenquellen,NOUN,Gefahrenquelle
im,ADP,in
Preußenpark,NOUN,Preußenpark
"
",SPACE,"
"
Im,ADP,in
Rahmen,NOUN,Rahmen
der,DET,der
Verkehrssicherungspflicht,NOUN,Verkehrssicherungspflicht
muss,ADV,muss
das,DET,der
Bezirksamt,NOUN,Bezirksamt
Charlottenburg-Wilmersdorf,PROPN,Charlottenburg-Wilmersdorf
Gefahrenquellen,NOUN,Gefahrenquelle
in,ADP,in
seinen,DET,sein
Grünanlagen,NOUN,Grünanlage
beseitigen,VERB,beseitigen
.,PUNCT,--
Im,ADP,in
Zuge,NOUN,Zug
dieser,DET,dieser
jahreszeitlich,ADV,jahreszeitlich
typischen,ADJ,typisch
Arbeiten,NOUN,Arbeit
werden,AUX,werden
im,ADP,in
Preußenpark,NOUN,Preußenpark
bis,ADP,bis
zum,ADP,zu
28.,ADJ,28.
Februar,NOUN,Februar
2022,NUM,2022
abgestorbene,ADJ,abgestorben
Sträucher,NOUN,Sträucher
",",PUNCT,--
sowie,CCONJ,sowie
herabgefallenes,ADJ,herabgefallen
Totholz,NOUN,Totholz
entlang,ADP,entlang
der,DET,der
Wege,NOUN,Weg
und,CCONJ,und
auf,ADP,auf
zahlreichen,ADJ,zahlreich
Trampelpfaden,NOUN,Trampelpfad
entnommen,VERB,entnehmen
.,PUNCT,--
Vorab,ADV,Vorab
erfolgt,VERB,erfolgen
eine,DET,ein
fachliche,ADJ,fachlich
Bewertung,NOUN,Bewertung
durch,ADP,durch
Expert,PROPN,Expert
:,PUNCT,--
innen,ADV,innen
.,PUNCT,--
Die,DET,der
zu,PART,zu
entnehmenden,ADJ,entnehmend
Sträucher,NOUN,Sträucher
werden,AUX,werden
farblich,ADV,farblich
markiert,VERB,markieren
.,PUNCT,--
Weitere,ADJ,weit
Baumfällungen,NOUN,Baumfällung
sind,AUX,sein
nicht,PART,nicht
geplant,VERB,planen
.,PUNCT,--
Im,ADP,in
Auftrag,NOUN,Auftrag
Brühl,NOUN,Brühl
