Token,PoS,Lemma
Radfahrer,NOUN,Radfahrer
bei,ADP,bei
Fahrt,NOUN,Fahrt
aus,ADP,aus
dem,DET,der
Wald,NOUN,Wald
mit,ADP,mit
Tram,NOUN,Tram
kollidiert,ADV,kollidiert
"
",SPACE,"
"
Nr.,NOUN,Nr.
1052,NUM,1052
Ein,DET,ein
Radfahrer,NOUN,Radfahrer
kollidierte,VERB,kollidieren
gestern,ADV,gestern
Nachmittag,NOUN,Nachmittag
bei,ADP,bei
einem,DET,ein
Verkehrsunfall,NOUN,Verkehrsunfall
in,ADP,in
Friedrichshagen,NOUN,Friedrichshage
mit,ADP,mit
einer,DET,ein
Straßenbahn,NOUN,Straßenbahn
.,PUNCT,--
Nach,ADP,nach
bisherigen,ADJ,bisherig
Ermittlungen,NOUN,Ermittlung
und,CCONJ,und
Zeugenaussagen,NOUN,Zeugenaussage
fuhr,VERB,fahren
der,DET,der
68-Jährige,NOUN,68-Jährige
gegen,ADP,gegen
15.20,NUM,15.20
Uhr,NOUN,Uhr
mit,ADP,mit
seinem,DET,sein
Fahrrad,NOUN,Fahrrad
aus,ADP,aus
einem,DET,ein
Waldweg,NOUN,Waldweg
am,ADP,an
Müggelseedamm,NOUN,Müggelseedamm
auf,ADP,auf
einen,DET,ein
Bahnübergang,NOUN,Bahnübergang
und,CCONJ,und
kollidierte,VERB,kollidieren
dort,ADV,dort
mit,ADP,mit
einer,DET,ein
herannahenden,ADJ,herannahend
Tram,NOUN,Tram
",",PUNCT,--
die,PRON,der
in,ADP,in
Richtung,NOUN,Richtung
Hirschgarten,NOUN,Hirschgart
unterwegs,ADV,unterwegs
war,AUX,sein
.,PUNCT,--
Zeugenaussagen,NOUN,Zeugenaussage
zufolge,ADP,zufolge
soll,AUX,sollen
er,PRON,er
den,DET,der
Vorrang,NOUN,Vorrang
der,DET,der
Straßenbahn,NOUN,Straßenbahn
nicht,PART,nicht
beachtet,VERB,beachten
haben,AUX,haben
.,PUNCT,--
Durch,ADP,durch
den,DET,der
Zusammenstoß,NOUN,Zusammenstoß
wurde,AUX,werden
der,DET,der
68-Jährige,NOUN,68-Jährige
zu,ADP,zu
Boden,NOUN,Boden
geschleudert,VERB,schleudern
und,CCONJ,und
erlitt,VERB,erleiden
Verletzungen,NOUN,Verletzung
an,ADP,an
Kopf,NOUN,Kopf
und,CCONJ,und
Rumpf,NOUN,Rumpf
.,PUNCT,--
Alarmierte,ADJ,alarmiert
Rettungskräfte,NOUN,Rettungskraft
brachten,VERB,bringen
ihn,PRON,ihn
zur,ADP,zu
stationären,ADJ,stationär
Behandlung,NOUN,Behandlung
in,ADP,in
ein,DET,ein
Krankenhaus,NOUN,Krankenhaus
.,PUNCT,--
Die,DET,der
weiteren,ADJ,weit
Ermittlungen,NOUN,Ermittlung
zu,ADP,zu
Unfall,NOUN,Unfall
übernahm,VERB,übernehmen
ein,DET,ein
Fachkommissariat,NOUN,Fachkommissariat
der,DET,der
Polizeidirektion,NOUN,Polizeidirektion
3,NUM,3
(,PUNCT,--
Ost,NOUN,Ost
),PUNCT,--
.,PUNCT,--
