Token,PoS,Lemma
Livemusik,NOUN,Livemusik
und,CCONJ,und
Mitmachangebote,NOUN,Mitmachangebote
am,ADP,an
22.07.2024,ADV,22.07.2024
beim,ADP,bei
Sommerfest,NOUN,Sommerfest
der,DET,der
Leo-Borchard-Musikschule,NOUN,Leo-Borchard-Musikschule
"
",SPACE,"
"
Die,DET,der
Leo-Borchard-Musikschule,PROPN,Leo-Borchard-Musikschule
lädt,VERB,laden
am,ADP,an
Samstag,NOUN,Samstag
",",PUNCT,--
dem,DET,der
22.,ADJ,22.
Juni,NOUN,Juni
",",PUNCT,--
in,ADP,in
die,DET,der
Musikschulvilla,PROPN,Musikschulvilla
nach,ADP,nach
Zehlendorf,PROPN,Zehlendorf
zum,ADP,zu
musikalischen,ADJ,musikalisch
Familienfest,NOUN,Familienfest
mit,ADP,mit
vielseitigem,ADJ,vielseitig
Bühnenprogramm,NOUN,Bühnenprogramm
und,CCONJ,und
spannenden,ADJ,spannend
Mitmachangeboten,NOUN,Mitmachangebot
für,ADP,für
Jung,NOUN,Jung
und,CCONJ,und
Alt,NOUN,Alt
.,PUNCT,--
Der,DET,der
Kinderchor,NOUN,Kinderchor
der,DET,der
Musikschule,NOUN,Musikschule
eröffnet,VERB,eröffnen
um,ADP,um
14,NUM,14
Uhr,NOUN,Uhr
das,DET,der
Fest,NOUN,Fest
in,ADP,in
der,DET,der
Martin-Buber-Straße,PROPN,Martin-Buber-Straße
21.,ADJ,21.
Anschließend,ADV,anschließend
übernehmen,VERB,übernehmen
verschiedene,ADJ,verschieden
Ensembles,NOUN,Ensemble
die,DET,der
Bühne,NOUN,Bühne
.,PUNCT,--
Violinen,NOUN,Violin
",",PUNCT,--
Oboen,NOUN,Oboen
und,CCONJ,und
Harfen,NOUN,Harfen
wechseln,VERB,wechseln
sich,PRON,sich
ab,ADP,ab
mit,ADP,mit
Musicalgruppen,NOUN,Musicalgruppe
und,CCONJ,und
Pop,PROPN,Pop
Duos,PROPN,Duos
.,PUNCT,--
Auch,ADV,auch
die,DET,der
City,NOUN,City
Hall,PROPN,Hall
Shakers,PROPN,Shakers
",",PUNCT,--
eine,DET,ein
Perkussionsgruppe,NOUN,Perkussionsgruppe
der,DET,der
Mitarbeitenden,NOUN,Mitarbeitende
des,DET,der
Bezirksamtes,NOUN,Bezirksamt
",",PUNCT,--
sind,AUX,sein
in,ADP,in
diesem,DET,dieser
Jahr,NOUN,Jahr
wieder,ADV,wieder
dabei,ADV,dabei
.,PUNCT,--
Das,DET,der
Abschlusskonzert,NOUN,Abschlusskonzert
mit,ADP,mit
zwei,NUM,zwei
hochkarätigen,NOUN,hochkarätig
Jazzensembles,PROPN,Jazzensembles
beginnt,VERB,beginnen
um,ADP,um
17,NUM,17
Uhr,NOUN,Uhr
.,PUNCT,--
Parallel,ADV,parallel
finden,VERB,finden
im,ADP,in
Haus,NOUN,Haus
und,CCONJ,und
auch,ADV,auch
im,ADP,in
Garten,NOUN,Garten
viele,DET,vieler
Mitmachangebote,NOUN,Mitmachangebote
statt,ADV,statt
.,PUNCT,--
Die,DET,der
beliebte,ADJ,beliebt
Instrumenten-Bastelwerkstatt,NOUN,Instrumenten-Bastelwerkstatt
und,CCONJ,und
auch,ADV,auch
ein,DET,ein
Music,NOUN,Music
Games,PROPN,Games
Parcours,NOUN,Parcours
sind,AUX,sein
in,ADP,in
diesem,DET,dieser
Jahr,NOUN,Jahr
Teil,NOUN,Teil
des,DET,der
Programms,NOUN,Programm
.,PUNCT,--
Auch,ADV,auch
wer,PRON,wer
noch,ADV,noch
kein,DET,kein
eigenes,ADJ,eigen
Instrument,NOUN,Instrument
spielt,VERB,spielen
",",PUNCT,--
ist,AUX,sein
zu,ADP,zu
Kinder-Trommelworkshops,NOUN,Kinder-Trommelworkshops
eingeladen,VERB,einladen
oder,CCONJ,oder
kann,AUX,können
in,ADP,in
der,DET,der
Instrumentenrallye,NOUN,Instrumentenrallye
klassische,ADJ,klassisch
Orchesterinstrumente,NOUN,Orchesterinstrument
",",PUNCT,--
wie,ADP,wie
Geige,NOUN,Geig
",",PUNCT,--
Cello,PROPN,Cello
oder,CCONJ,oder
Klavier,NOUN,Klavier
kennenlernen,VERB,kennenlernen
.,PUNCT,--
Die,DET,der
ganz,ADV,ganz
Kleinen,NOUN,kleine
können,AUX,können
in,ADP,in
Tanzworkshops,NOUN,Tanzworkshop
und,CCONJ,und
Eltern-Kind-Kursen,NOUN,Eltern-Kind-Kursen
der,DET,der
musikalischen,ADJ,musikalisch
Früherziehung,NOUN,Früherziehung
ihr,DET,ihr
eigenes,ADJ,eigen
Rhythmusgefühl,NOUN,Rhythmusgefühl
entdecken,VERB,entdecken
oder,CCONJ,oder
Musikmärchen,NOUN,Musikmärchen
lauschen,VERB,lauschen
.,PUNCT,--
