Token,PoS,Lemma
Geänderte,ADJ,geändert
Veranstaltungstermine,NOUN,Veranstaltungstermin
des,DET,der
Kulturhauses,NOUN,Kulturhause
Karlshorst,PROPN,Karlshorst
"
",SPACE,"
"
Bis,ADP,bis
Ende,NOUN,Ende
Februar,NOUN,Februar
2022,NUM,2022
finden,VERB,finden
im,ADP,in
Kulturhaus,NOUN,Kulturhaus
Karlshorst,PROPN,Karlshorst
",",PUNCT,--
Treskowallee,PROPN,Treskowallee
112,NUM,112
",",PUNCT,--
10318,NUM,10318
Berlin,PROPN,Berlin
",",PUNCT,--
keine,DET,kein
Veranstaltungen,NOUN,Veranstaltung
statt,ADV,statt
.,PUNCT,--
Mit,ADP,mit
dieser,DET,dieser
Maßnahme,NOUN,Maßnahme
reagiert,VERB,reagieren
das,DET,der
Bezirksamt,NOUN,Bezirksamt
Lichtenberg,PROPN,Lichtenberg
auf,ADP,auf
die,DET,der
aktuelle,ADJ,aktuell
pandemische,ADJ,pandemisch
Lage,NOUN,Lage
.,PUNCT,--
So,ADV,so
werden,AUX,werden
Kontakte,NOUN,Kontakt
reduziert,VERB,reduzieren
und,CCONJ,und
dem,DET,der
Infektionsgeschehen,NOUN,Infektionsgeschehen
entgegengewirkt,VERB,entgegenwirken
.,PUNCT,--
Im,ADP,in
März,NOUN,März
2022,NUM,2022
ergeben,VERB,ergeben
sich,PRON,sich
planungsbedingt,VERB,planungsbedingen
Änderungen,NOUN,Änderung
im,ADP,in
Programm,NOUN,Programm
des,DET,der
Kulturhauses,NOUN,Kulturhause
Karlshorst,PROPN,Karlshorst
für,ADP,für
bereits,ADV,bereits
bekannt,ADV,bekannt
gegebene,ADJ,gegeben
Veranstaltungen,NOUN,Veranstaltung
:,PUNCT,--
Am,ADP,an
Mittwoch,NOUN,Mittwoch
",",PUNCT,--
09.,ADJ,09.
März,NOUN,März
2022,NUM,2022
",",PUNCT,--
19.30,NUM,19.30
Uhr,NOUN,Uhr
",",PUNCT,--
findet,VERB,finden
Dokumentarfilm,NOUN,Dokumentarfilm
mal,ADV,mal
anders,ADV,anders
