Token,PoS,Lemma
Sperrung,NOUN,Sperrung
der,DET,der
Potsdamer,ADJ,Potsdamer
Chaussee,PROPN,Chaussee
im,ADP,in
Kreuzungsbereich,PROPN,Kreuzungsbereich
Kleeblatt,PROPN,Kleeblatt
"
",SPACE,"
"
Zur,ADP,zu
Durchführung,NOUN,Durchführung
der,DET,der
restlichen,ADJ,restlich
Bauleistungen,NOUN,Bauleistung
des,DET,der
Brückenneubaus,NOUN,Brückenneubau
im,ADP,in
Bereich,NOUN,Bereich
der,DET,der
A,NOUN,A
115,NUM,115
muss,ADV,muss
ab,ADP,ab
Donnerstag,NOUN,Donnerstag
",",PUNCT,--
den,DET,der
07.03.2019,PROPN,07.03.2019
",",PUNCT,--
die,DET,der
B1,PROPN,B1
/,PUNCT,--
Potsdamer,ADJ,Potsdamer
Chaussee,PROPN,Chaussee
bis,ADP,bis
voraussichtlich,ADV,voraussichtlich
Mitte,NOUN,Mitte
April,NOUN,April
2019,NUM,2019
in,ADP,in
beiden,DET,beide
Richtungen,NOUN,Richtung
voll,ADV,voll
gesperrt,VERB,sperren
werden,AUX,werden
.,PUNCT,--
Der,DET,der
Verkehr,NOUN,Verkehr
wird,AUX,werden
jeweils,ADV,jeweils
über,ADP,über
die,DET,der
parallel,ADV,parallel
laufenden,ADJ,laufend
Verteilerfahrbahnen,NOUN,Verteilerfahrbahn
an,ADP,an
der,DET,der
Baustelle,NOUN,Baustelle
vorbeigeführt,VERB,vorbeigeführen
.,PUNCT,--
Die,DET,der
Vollsperrung,NOUN,Vollsperrung
wird,AUX,werden
für,ADP,für
die,DET,der
restlichen,ADJ,restlich
Straßenbau-,X,Straßenbau
und,CCONJ,und
Komplettierungsleistungen,NOUN,Komplettierungsleistung
der,DET,der
Brücke,NOUN,Brücke
notwendig,ADV,notwendig
.,PUNCT,--
Insbesondere,ADV,insbesondere
werden,AUX,werden
die,DET,der
provisorischen,ADJ,provisorisch
Überfahrten,NOUN,Überfahrte
",",PUNCT,--
die,PRON,der
für,ADP,für
die,DET,der
bauzeitlichen,ADJ,bauzeitlich
Verkehrsführungen,NOUN,Verkehrsführung
aufgestellt,VERB,aufstellen
wurden,AUX,werden
",",PUNCT,--
wieder,ADV,wieder
zurück,ADV,zurück
gebaut,VERB,bauen
und,CCONJ,und
die,DET,der
Flächen,NOUN,Fläche
in,ADP,in
den,DET,der
ursprünglichen,ADJ,ursprünglich
Zustand,NOUN,Zustand
gebracht,VERB,bringen
.,PUNCT,--
Gleichzeitig,ADV,gleichzeitig
setzt,VERB,setzen
der,DET,der
Bezirk,NOUN,Bezirk
Steglitz-Zehlendorf,PROPN,Steglitz-Zehlendorf
die,DET,der
B1,PROPN,B1
im,ADP,in
gesperrten,ADJ,gesperrt
Bereich,NOUN,Bereich
instand,VERB,instand
.,PUNCT,--
Wir,PRON,wir
bitten,VERB,bitten
bitte,ADV,bitte
um,ADP,um
Ihr,DET,ihr
Verständnis,NOUN,Verständnis
für,ADP,für
die,DET,der
anstehenden,ADJ,anstehend
Arbeiten,NOUN,Arbeit
.,PUNCT,--
