Token,PoS,Lemma
30,NUM,30
Jahre,NOUN,Jahr
Konziliarer,NOUN,Konziliarer
und,CCONJ,und
Nachhaltigkeitsprozess,NOUN,Nachhaltigkeitsprozess
in,ADP,in
Treptow-Köpenick,PROPN,Treptow-Köpenick
"
",SPACE,"
"
Am,ADP,an
2.,ADJ,2.
September,NOUN,September
dieses,DET,dieser
Jahres,NOUN,Jahr
feiern,VERB,feiern
wir,PRON,wir
im,ADP,in
Berliner,ADJ,Berliner
Bezirk,NOUN,Bezirk
Treptow-Köpenick,PROPN,Treptow-Köpenick
das,DET,der
dreißigjährige,ADJ,dreißigjährig
Jubiläum,NOUN,Jubiläum
der,DET,der
Zusammenführung,NOUN,Zusammenführung
von,ADP,von
zwei,NUM,zwei
Prozessen,NOUN,Prozeß
:,PUNCT,--
dem,DET,der
Nachhaltigkeitsprozess,NOUN,Nachhaltigkeitsprozess
der,DET,der
Vereinten,ADJ,vereint
Nationen,NOUN,Nation
und,CCONJ,und
dem,DET,der
Konziliaren,NOUN,konziliar
Prozess,NOUN,Prozess
für,ADP,für
Gerechtigkeit,NOUN,Gerechtigkeit
",",PUNCT,--
Frieden,NOUN,Frieden
und,CCONJ,und
Bewahrung,NOUN,Bewahrung
der,DET,der
Schöpfung,NOUN,Schöpfung
.,PUNCT,--
Weiterhin,ADV,weiterhin
ist,AUX,sein
für,ADP,für
den,DET,der
Treptow-Köpenicker,NOUN,Treptow-Köpenicker
Ansatz,NOUN,Ansatz
die,DET,der
Verbindung,NOUN,Verbindung
des,DET,der
Agenda,NOUN,Agenda
2030,NUM,2030
(,PUNCT,--
SDG)-Prozesses,NOUN,SDG)-Prozes
der,DET,der
Vereinten,ADJ,vereint
Nationen,NOUN,Nation
mit,ADP,mit
dem,DET,der
Konziliaren,NOUN,konziliar
Prozess,NOUN,Prozess
für,ADP,für
Gerechtigkeit,NOUN,Gerechtigkeit
",",PUNCT,--
Frieden,NOUN,Frieden
und,CCONJ,und
Bewahrung,NOUN,Bewahrung
der,DET,der
Schöpfung,NOUN,Schöpfung
von,ADP,von
grundlegender,ADJ,grundlegend
Bedeutung,NOUN,Bedeutung
.,PUNCT,--
In,ADP,in
der,DET,der
aktuellen,ADJ,aktuell
Kommunalen,ADJ,kommunal
Nachhaltigkeitsstrategie,NOUN,Nachhaltigkeitsstrategie
für,ADP,für
Treptow-Köpenick,NOUN,Treptow-Köpenick
von,ADP,von
2021,NUM,2021
",",PUNCT,--
der,PRON,der
bisher,ADV,bisher
einzigen,ADJ,einzig
in,ADP,in
Berlin,PROPN,Berlin
",",PUNCT,--
ist,AUX,sein
dieses,DET,dieser
gemeinsame,ADJ,gemeinsam
Wirken,NOUN,wirken
bildhaft,ADV,bildhaft
dargestellt,VERB,darstellen
.,PUNCT,--
Dies,PRON,dieser
wird,AUX,werden
auch,ADV,auch
in,ADP,in
den,DET,der
Einzeljubiläen,PROPN,Einzeljubiläen
",",PUNCT,--
die,PRON,der
2023,NUM,2023
anstehen,VERB,anstehen
",",PUNCT,--
deutlich,ADV,deutlich
:,PUNCT,--
dem,DET,der
fünfundzwanzigsten,ADJ,fünfundzwanzigst
Geburtstag,NOUN,Geburtstag
der,DET,der
Städtepartnerschaft,NOUN,Städtepartnerschaft
von,ADP,von
Treptow-Köpenick,PROPN,Treptow-Köpenick
mit,ADP,mit
der,DET,der
nordperuanischen,ADJ,nordperuanisch
Provinz,NOUN,Provinz
Cajamarca,PROPN,Cajamarca
",",PUNCT,--
dem,DET,der
zwanzigsten,ADJ,zwanzigst
Geburtstag,NOUN,Geburtstag
des,DET,der
Wuhlegarten,NOUN,Wuhlegart
–,PUNCT,--
