Token,PoS,Lemma
Pandemie,NOUN,Pandemie
Notdienst-Regelung,NOUN,Notdienst-Regelung
in,ADP,in
den,DET,der
Bürgerämtern,NOUN,Bürgerämtern
Tempelhof-Schöneberg,PROPN,Tempelhof-Schöneberg
"
",SPACE,"
"
Um,ADP,um
einer,DET,ein
weiteren,ADJ,weit
Ausbreitung,NOUN,Ausbreitung
der,DET,der
Sars-CoV-2-Pandemie,NOUN,Sars-CoV-2-Pandemie
wirksam,ADV,wirksam
entgegenzuwirken,VERB,entgegenwirken
schließt,VERB,schließen
sich,PRON,sich
das,DET,der
Bezirksamt,NOUN,Bezirksamt
des,DET,der
Landesweiten,NOUN,Landesweit
Vorgaben,NOUN,Vorgabe
an,ADP,an
und,CCONJ,und
hat,AUX,haben
angeordnet,VERB,anordnen
",",PUNCT,--
den,DET,der
Dienstbetrieb,NOUN,Dienstbetrieb
auf,ADP,auf
das,DET,der
unerlässliche,ADJ,unerlässlich
Maß,NOUN,Maß
zu,PART,zu
beschränken,VERB,beschränken
.,PUNCT,--
Für,ADP,für
die,DET,der
Bürgerämter,NOUN,Bürgerämter
im,ADP,in
Bezirk,NOUN,Bezirk
hat,AUX,haben
das,DET,der
folgende,ADJ,folgend
Auswirkungen,NOUN,Auswirkung
:,PUNCT,--
Bürgeramt,NOUN,Bürgeramt
Schöneberg,PROPN,Schöneberg
(,PUNCT,--
John-F.-Kennedy-Platz,PROPN,John-F.-Kennedy-Platz
",",PUNCT,--
10820,NUM,10820
Berlin,PROPN,Berlin
",",PUNCT,--
Raum,NOUN,Raum
116,NUM,116
),PUNCT,--
bleibt,VERB,bleiben
am,ADP,an
28.,ADJ,28.
Dezember,NOUN,Dezember
2020,NUM,2020
und,CCONJ,und
am,ADP,an
29.,ADJ,29.
Dezember,NOUN,Dezember
2020,NUM,2020
ganztägig,ADV,ganztägig
geschlossen,VERB,schließen
Bürgeramt,NOUN,Bürgeramt
Tempelhof,PROPN,Tempelhof
(,PUNCT,--
Tempelhofer,NOUN,Tempelhofer
Damm,NOUN,Damm
165,NUM,165
",",PUNCT,--
12099,NUM,12099
Berlin,PROPN,Berlin
),PUNCT,--
bleibt,VERB,bleiben
am,ADP,an
28.,ADJ,28.
Dezember,NOUN,Dezember
2020,NUM,2020
und,CCONJ,und
am,ADP,an
30.,ADJ,30.
Dezember,NOUN,Dezember
2020,NUM,2020
ganztägig,ADV,ganztägig
geschlossen,VERB,schließen
Bürgeramt,NOUN,Bürgeramt
Lichtenrade,NOUN,Lichtenrade
(,PUNCT,--
Briesingstr,PROPN,Briesingstr
.,PUNCT,--
6,NUM,6
",",PUNCT,--
12307,NUM,12307
Berlin,PROPN,Berlin
),PUNCT,--
bleibt,VERB,bleiben
am,ADP,an
29.,ADJ,29.
Dezember,NOUN,Dezember
2020,NUM,2020
und,CCONJ,und
am,ADP,an
30.,ADJ,30.
Dezember,NOUN,Dezember
2020,NUM,2020
ganztägig,ADV,ganztägig
geschlossen,VERB,schließen
Bereits,ADV,bereits
gebuchte,ADJ,gebucht
Termine,NOUN,Termin
an,ADP,an
den,DET,der
Öffnungstagen,NOUN,Öffnungstage
werden,AUX,werden
vollumfänglich,ADV,vollumfänglich
bearbeitet,VERB,bearbeiten
.,PUNCT,--
Gebuchte,ADJ,Gebuchte
Termine,NOUN,Termin
an,ADP,an
den,DET,der
Schließtagen,NOUN,Schließtag
sind,AUX,sein
in,ADP,in
Absprache,NOUN,Absprache
mit,ADP,mit
den,DET,der
betroffenen,ADJ,betroffen
Bürger_innen,PUNCT,Bürger_innen
verlegt,VERB,verlegen
worden,AUX,werden
.,PUNCT,--
Kund_innen,NOUN,Kund_inn
werden,AUX,werden
über,ADP,über
Aushänge,NOUN,Aushang
an,ADP,an
den,DET,der
Standorten,NOUN,Standort
und,CCONJ,und
Informationen,NOUN,Information
im,ADP,in
Internet,NOUN,Internet
darüber,ADV,darüber
informiert,VERB,informieren
.,PUNCT,--
Dokumente,NOUN,Dokument
können,AUX,können
an,ADP,an
den,DET,der
genannten,ADJ,genannt
Schließtagen,NOUN,Schließtag
nicht,PART,nicht
abgeholt,VERB,abholen
werden,AUX,werden
.,PUNCT,--
