Token,PoS,Lemma
Zweiter,ADJ,zweiter
Spandauer,NOUN,Spandauer
Girls‘-,PROPN,Girls‘-
und,CCONJ,und
Boys,PROPN,Boys
‘,PUNCT,‘
Day,PROPN,Day
im,ADP,in
Rathaus,NOUN,Rathaus
Spandau,PROPN,Spandau
"
",SPACE,"
"
Heute,ADV,heute
fand,VERB,finden
zum,ADP,zu
zweiten,ADJ,zweiter
Mal,NOUN,Mal
der,DET,der
„,PUNCT,--
Girls‘-,NOUN,Girls‘-
und,CCONJ,und
Boys,PROPN,Boys
‘,PUNCT,--
Day,PROPN,Day
“,PUNCT,--
im,ADP,in
Bezirksamt,NOUN,Bezirksamt
Spandau,NOUN,Spandau
statt,ADV,statt
.,PUNCT,--
42,NUM,42
interessierte,ADJ,interessiert
und,CCONJ,und
motivierte,ADJ,motiviert
Spandauer,NOUN,Spandauer
Schüler*innen,NOUN,Schüler*inn
nahmen,VERB,nehmen
an,ADP,an
der,DET,der
klischeefreien,ADJ,klischeefrei
Berufsorientierung,NOUN,Berufsorientierung
teil,ADV,teil
.,PUNCT,--
Die,DET,der
Teilnehmer*innen,NOUN,Teilnehmer*inne
waren,AUX,sein
mit,ADP,mit
viel,DET,viel
Elan,NOUN,Elan
dabei,ADV,dabei
",",PUNCT,--
was,PRON,was
bei,ADP,bei
den,DET,der
Mitarbeiter*innen,NOUN,Mitarbeiter*inn
des,DET,der
Bezirksamtes,NOUN,Bezirksamt
",",PUNCT,--
den,DET,der
sog.,ADJ,sog.
Berufspat*innen,NOUN,Berufspat*inn
am,ADP,an
Tag,NOUN,Tag
für,ADP,für
viel,DET,viel
Begeisterung,NOUN,Begeisterung
sorgte,VERB,sorgen
und,CCONJ,und
auf,ADP,auf
künftigen,ADJ,künftig
Mitarbeiter*innen-,NOUN,Mitarbeiter*innen-
Nachwuchs,NOUN,Nachwuchs
hoffen,VERB,hoffen
lässt,VERB,lässn
.,PUNCT,--
Die,DET,der
Teilnehmer*innen,NOUN,Teilnehmer*inne
haben,AUX,haben
Einblicke,NOUN,Einblick
in,ADP,in
die,DET,der
vielfältigen,ADJ,vielfältig
Berufsfelder,NOUN,Berufsfeld
erhalten,VERB,erhalten
",",PUNCT,--
die,PRON,der
das,DET,der
Bezirk-samt,NOUN,Bezirk-samt
zu,PART,zu
bieten,VERB,bieten
hat,AUX,haben
",",PUNCT,--
wie,ADP,wie
zum,ADP,zu
Beispiel,NOUN,Beispiel
in,ADP,in
die,DET,der
nachfolgenden,ADJ,nachfolgend
Berufsbilder,NOUN,Berufsbild
:,PUNCT,--
Bootswart*in,PROPN,Bootswart*in
",",PUNCT,--
Ingenieur*in,ADV,Ingenieur*in
",",PUNCT,--
Sozialarbeiter*in,PROPN,Sozialarbeiter*in
",",PUNCT,--
Vermessungstechniker*in,NOUN,Vermessungstechniker*in
und,CCONJ,und
allem,PRON,alle
voran,ADV,voran
Bezirksstadtrat/-,NOUN,Bezirksstadtrat/-
rätin,PROPN,Rätin
(,PUNCT,--
Politiker*in,PROPN,Politiker*in
),PUNCT,--
.,PUNCT,--
Tanja,PROPN,Tanja
Franzke,PROPN,Franzke
",",PUNCT,--
Bezirksstadträtin,NOUN,Bezirksstadträtin
für,ADP,für
Jugend,NOUN,Jugend
und,CCONJ,und
Gesundheit,NOUN,Gesundheit
",",PUNCT,--
führt,VERB,führen
aus,ADP,aus
:,PUNCT,--
“,PUNCT,--
Als,ADP,als
Verwaltung,NOUN,Verwaltung
wollen,VERB,wollen
und,CCONJ,und
müssen,AUX,müssen
wir,PRON,wir
uns,PRON,sich
noch,ADV,noch
viel,ADV,viel
stärker,ADV,stark
für,ADP,für
den,DET,der
Nachwuchs,NOUN,Nachwuchs
öffnen,VERB,öffnen
.,PUNCT,--
Der,DET,der
Girls`-,PROPN,Girls`-
&,CCONJ,&
Boys,X,Boys
`,PUNCT,--
Day,PROPN,Day
ist,AUX,sein
eine,DET,ein
gute,ADJ,gut
Gelegenheit,NOUN,Gelegenheit
",",PUNCT,--
jungen,ADJ,jung
Menschen,NOUN,Mensch
zu,PART,zu
zeigen,VERB,zeigen
",",PUNCT,--
wie,ADV,wie
vielfältig,ADV,vielfältig
die,DET,der
Arbeitsbereiche,NOUN,Arbeitsbereiche
im,ADP,in
Bezirksamt,NOUN,Bezirksamt
Spandau,NOUN,Spandau
sind,AUX,sein
.,PUNCT,--
”,PUNCT,”
Frank,PROPN,Frank
Bewig,PROPN,Bewig
",",PUNCT,--
Bezirksbürgermeister,NOUN,Bezirksbürgermeister
",",PUNCT,--
führt,VERB,führen
aus,ADP,aus
:,PUNCT,--
„,PUNCT,--
Jungen,ADJ,jung
Menschen,NOUN,Mensch
die,DET,der
Verwaltung,NOUN,Verwaltung
und,CCONJ,und
vielfältigste,ADJ,vielfältigst
Herausforderungen,NOUN,Herausforderung
im,ADP,in
Bezirk,NOUN,Bezirk
näher,ADV,nah
zu,PART,zu
bringen,VERB,bringen
",",PUNCT,--
ist,AUX,sein
eine,DET,ein
willkommene,ADJ,willkommen
Abwechslung,NOUN,Abwechslung
und,CCONJ,und
sehr,ADV,sehr
wichtig,ADV,wichtig
für,ADP,für
die,DET,der
Nachwuchsakquise,NOUN,Nachwuchsakquise
.,PUNCT,--
Ich,PRON,ich
stehe,VERB,stehen
daher,ADV,daher
sehr,ADV,sehr
gerne,ADV,gerne
zur,ADP,zu
Verfügung,NOUN,Verfügung
",",PUNCT,--
um,SCONJ,um
junge,ADJ,jung
Menschen,NOUN,Mensch
an,ADP,an
das,DET,der
Spandauer,NOUN,Spandauer
Rathaus,NOUN,Rathaus
heranzuführen,VERB,heranführen
und,CCONJ,und
sie,PRON,sie
womöglich,ADV,womöglich
sogar,ADV,sogar
zu,PART,zu
begeistern,VERB,begeistern
",",PUNCT,--
ihre,DET,ihr
Zukunft,NOUN,Zukunft
in,ADP,in
unserem,DET,unser
Haus,NOUN,Haus
zu,PART,zu
sehen,VERB,sehen
.,PUNCT,--
“,PUNCT,--
Gregor,PROPN,Gregor
Kempert,PROPN,Kempert
",",PUNCT,--
Bezirksstadtrat,NOUN,Bezirksstadtrat
für,ADP,für
Soziales,NOUN,soziale
und,CCONJ,und
Bürgerdienste,NOUN,Bürgerdienste
",",PUNCT,--
führt,VERB,führen
aus,ADP,aus
:,PUNCT,--
„,PUNCT,--
Der,DET,der
Girls`-,PROPN,Girls`-
&,CCONJ,&
Boys,X,Boys
`,PUNCT,--
Day,PROPN,Day
ist,AUX,sein
eine,DET,ein
großartige,ADJ,großartig
Gelegenheit,NOUN,Gelegenheit
für,ADP,für
mich,PRON,mich
",",PUNCT,--
jungen,ADJ,jung
Menschen,NOUN,Mensch
die,DET,der
Aufgaben,NOUN,Aufgabe
und,CCONJ,und
das,DET,der
Tätigkeitsfeld,NOUN,Tätigkeitsfeld
eines,DET,ein
Bezirksstadtrates,NOUN,Bezirksstadtrat
bzw.,CCONJ,bzw.
einer,DET,ein
Bezirksstadträtin,NOUN,Bezirksstadträtin
nahezubringen,VERB,nahebringen
.,PUNCT,--
“,PUNCT,--
Thorsten,PROPN,Thorsten
Schatz,NOUN,Schatz
",",PUNCT,--
Bezirksstadtrat,NOUN,Bezirksstadtrat
für,ADP,für
Bauen,NOUN,bauen
",",PUNCT,--
Planen,NOUN,Plan
",",PUNCT,--
Umwelt-,X,Umwelt
und,CCONJ,und
Naturschutz,NOUN,Naturschutz
",",PUNCT,--
führt,VERB,führen
aus,ADP,aus
:,PUNCT,--
„,PUNCT,--
Der,DET,der
Girls`-,PROPN,Girls`-
&,CCONJ,&
Boys,X,Boys
`,PUNCT,--
Day,PROPN,Day
ist,AUX,sein
jedes,DET,jeder
Jahr,NOUN,Jahr
aufs,ADP,auf
Neue,NOUN,neue
eine,DET,ein
großartige,ADJ,großartig
Gelegenheit,NOUN,Gelegenheit
",",PUNCT,--
jungen,ADJ,jung
Menschen,NOUN,Mensch
einen,DET,ein
Einblick,NOUN,Einblick
in,ADP,in
unsere,DET,unser
Arbeit,NOUN,Arbeit
hier,ADV,hier
