Token,PoS,Lemma
Senatsverwaltung,NOUN,Senatsverwaltung
für,ADP,für
Stadtentwicklung,NOUN,Stadtentwicklung
hat,AUX,haben
die,DET,der
Vorplanungsunterlegen,NOUN,Vorplanungsunterleg
für,ADP,für
Schloss,PROPN,Schloss
Biesdorf,PROPN,Biesdorf
genehmigt,VERB,genehmigen
"
",SPACE,"
"
Die,DET,der
Senatsverwaltung,NOUN,Senatsverwaltung
für,ADP,für
Stadtentwicklung,NOUN,Stadtentwicklung
hat,AUX,haben
die,DET,der
Vorplanungsunterlegen,NOUN,Vorplanungsunterleg
für,ADP,für
Schloss,PROPN,Schloss
Biesdorf,PROPN,Biesdorf
genehmigt,VERB,genehmigen
–,PUNCT,--
die,DET,der
Gute,ADJ,gut
Nachricht,NOUN,Nachricht
hat,AUX,haben
gestern,ADV,gestern
alle,DET,aller
Projektbeteiligten,NOUN,Projektbeteiligt
erreicht,VERB,erreichen
.,PUNCT,--
Am,ADP,an
28.,ADJ,28.
November,NOUN,November
waren,AUX,sein
die,DET,der
Bau-Unterlagen,NOUN,Bau-Unterlag
an,ADP,an
die,DET,der
Senatsverwaltung,NOUN,Senatsverwaltung
gegangen,VERB,gehen
.,PUNCT,--
Nun,ADV,nun
wurde,AUX,werden
fristgerecht,ADV,fristgerecht
geprüft,VERB,prüfen
und,CCONJ,und
schon,ADV,schon
vor,ADP,vor
Ende,NOUN,Ende
März,NOUN,März
liegt,VERB,liegen
jetzt,ADV,jetzt
das,DET,der
Ergebnis,NOUN,Ergebnis
vor,ADP,vor
.,PUNCT,--
Mit,ADP,mit
der,DET,der
baufachliche,ADJ,baufachlich
Genehmigung,NOUN,Genehmigung
der,DET,der
Vorplanungsunterlagen,NOUN,Vorplanungsunterlag
ist,AUX,sein
eine,DET,ein
wichtige,ADJ,wichtig
Etappe,NOUN,Etappe
beendet,VERB,beenden
.,PUNCT,--
Das,DET,der
Projekt,NOUN,Projekt
“,PUNCT,--
Denkmalsgerechter,NOUN,Denkmalsgerechter
Wiederaufbau,NOUN,Wiederaufbau
Schloss,PROPN,Schloss
Biesdorf,PROPN,Biesdorf
”,PUNCT,”
und,CCONJ,und
die,DET,der
Einrichtung,NOUN,Einrichtung
der,DET,der
“,PUNCT,--
Galerie,NOUN,Galerie
Bilderstreit,NOUN,Bilderstreit
”,PUNCT,”
gehen,VERB,gehen
damit,ADV,damit
in,ADP,in
die,DET,der
nächste,ADJ,nächster
Phase,NOUN,Phase
.,PUNCT,--
Kulturstadträtin,NOUN,Kulturstadträtin
Julia,PROPN,Julia
Witt,PROPN,Witt
:,PUNCT,--
“,PUNCT,--
Mein,DET,mein
Dank,NOUN,Dank
geht,VERB,gehen
an,ADP,an
die,DET,der
Senatskanzlei,NOUN,Senatskanzlei
",",PUNCT,--
die,PRON,der
uns,PRON,uns
in,ADP,in
bester,ADJ,gut
Weise,NOUN,Weise
unterstützt,VERB,unterstützen
",",PUNCT,--
die,DET,der
Senatsverwaltung,NOUN,Senatsverwaltung
für,ADP,für
Stadtentwicklung,NOUN,Stadtentwicklung
",",PUNCT,--
die,PRON,der
trotz,ADP,trotz
enger,ADV,eng
personeller,ADJ,personell
Ressourcen,NOUN,Ressource
dem,DET,der
Projekt,NOUN,Projekt
hohe,ADJ,hoch
Priorität,NOUN,Priorität
beimisst,VERB,beimissen
.,PUNCT,--
Der,DET,der
Bezirk,NOUN,Bezirk
hat,AUX,haben
innerhalb,ADP,innerhalb
der,DET,der
letzten,ADJ,letzter
Wochen,NOUN,Woche
