Token,PoS,Lemma
Zwei,NUM,zwei
Mal,NOUN,Mal
122.000,NUM,122.000
Euro,NOUN,Euro
für,ADP,für
die,DET,der
nachhaltige,ADJ,nachhaltig
Entwicklung,NOUN,Entwicklung
der,DET,der
Wilmersdorfer,ADJ,Wilmersdorfer
Straße,NOUN,Straße
"
",SPACE,"
"
Die,DET,der
Wilmersdorfer,ADJ,Wilmersdorfer
Straße,NOUN,Straße
soll,AUX,sollen
fit,ADV,fit
für,ADP,für
die,DET,der
Zukunft,NOUN,Zukunft
gemacht,VERB,machen
werden,AUX,werden
.,PUNCT,--
Das,DET,der
Bezirksamt,NOUN,Bezirksamt
Charlottenburg-Wilmersdorf,PROPN,Charlottenburg-Wilmersdorf
hat,AUX,haben
sich,PRON,sich
daher,ADV,daher
um,ADP,um
Mittel,NOUN,Mittel
aus,ADP,aus
dem,DET,der
Programm,NOUN,Programm
“,PUNCT,--
Wirtschaftsdienliche,ADJ,wirtschaftsdienlich
Maßnahmen,NOUN,Maßnahme
im,ADP,in
Rahmen,NOUN,Rahmen
bezirklicher,ADJ,bezirklich
Bündnisse,NOUN,Bündnis
für,ADP,für
Wirtschaft,NOUN,Wirtschaft
und,CCONJ,und
Arbeit,NOUN,Arbeit
”,PUNCT,”
(,PUNCT,--
WDM,PROPN,WDM
),PUNCT,--
beworben,VERB,beworben
und,CCONJ,und
nun,ADV,nun
122.000,NUM,122.000
Euro,NOUN,Euro
für,ADP,für
das,DET,der
Projekt,NOUN,Projekt
“,PUNCT,--
Etablierung,NOUN,Etablierung
eines,DET,ein
Standortmanagements,NOUN,Standortmanagement
auf,ADP,auf
der,DET,der
Wilmersdorfer,ADJ,Wilmersdorfer
Straße,NOUN,Straße
”,PUNCT,”
zugewiesen,VERB,zugewiesen
bekommen,VERB,bekommen
.,PUNCT,--
Da,SCONJ,da
dieses,DET,dieser
Mittel,NOUN,Mittel
eine,DET,ein
fünfzigprozentige,ADJ,fünfzigprozentig
Ko-Finanzierung,NOUN,Ko-Finanzierung
benötigt,VERB,benötigen
",",PUNCT,--
haben,AUX,haben
sich,PRON,sich
der,DET,der
Bezirk,NOUN,Bezirk
und,CCONJ,und
die,DET,der
AG,NOUN,AG
Wilmersdorfer,ADJ,Wilmersdorfer
Straße,NOUN,Straße
an,ADP,an
die,DET,der
