Token,PoS,Lemma
Oranje,PROPN,Oranje
Berlin,PROPN,Berlin
Fußballjugend,PROPN,Fußballjugend
setzt,VERB,setzen
ein,DET,ein
Zeichen,NOUN,Zeichen
gegen,ADP,gegen
Rassismus,NOUN,Rassismus
und,CCONJ,und
Antisemitismus,NOUN,Antisemitismus
"
",SPACE,"
"
Der,DET,der
Fußballverein,NOUN,Fußballverein
Oranje,NOUN,Oranje
Berlin,PROPN,Berlin
veranstaltet,VERB,veranstalten
am,ADP,an
Pfingstwochenende,NOUN,Pfingstwochenend
",",PUNCT,--
Samstag,NOUN,Samstag
",",PUNCT,--
27.,ADJ,27.
Mai,NOUN,Mai
2023,NUM,2023
und,CCONJ,und
Sonntag,NOUN,Sonntag
",",PUNCT,--
28.,ADJ,28.
Mai,NOUN,Mai
2023,NUM,2023
",",PUNCT,--
den,DET,der
Freedom-Cup,NOUN,Freedom-Cup
auf,ADP,auf
dem,DET,der
Sportplatz,NOUN,Sportplatz
am,ADP,an
Spandauer,NOUN,Spandauer
Damm,PROPN,Damm
150.,ADJ,150.
Sportstadträtin,NOUN,Sportstadträtin
Heike,PROPN,Heike
Schmitt-Schmelz,PROPN,Schmitt-Schmelz
wird,AUX,werden
am,ADP,an
Sonntag,NOUN,Sonntag
",",PUNCT,--
28.,ADJ,28.
Mai,NOUN,Mai
2023,NUM,2023
",",PUNCT,--
um,ADP,um
14,NUM,14
Uhr,NOUN,Uhr
an,ADP,an
der,DET,der
Siegerehrung,NOUN,Siegerehrung
teilnehmen,VERB,teilnehmen
.,PUNCT,--
Das,DET,der
Pfingstturnier,NOUN,Pfingstturnier
für,ADP,für
die,DET,der
E-,PROPN,E-
und,CCONJ,und
D-Junioren,NOUN,D-Junioren
(,PUNCT,--
10,NUM,10
bis,CCONJ,bis
13,NUM,13
Jahre,NOUN,Jahr
),PUNCT,--
erwartet,VERB,erwarten
300,NUM,300
aktive,ADJ,aktiv
Teilnehmende,NOUN,Teilnehmende
und,CCONJ,und
bis,ADV,bis
zu,ADV,zu
1000,NUM,1000
Gäste,NOUN,Gast
aus,ADP,aus
der,DET,der
ganzen,ADJ,ganz
Bundesrepublik,NOUN,Bundesrepublik
",",PUNCT,--
unter,ADP,unter
anderem,PRON,anderer
dem,DET,der
Rostocker,ADJ,Rostocker
FC,NOUN,FC
und,CCONJ,und
dem,DET,der
SV,NOUN,SV
Scheidt,PROPN,Scheidt
aus,ADP,aus
dem,DET,der
Saarland,PROPN,Saarland
.,PUNCT,--
Schwerpunkt,NOUN,Schwerpunkt
des,DET,der
Freedom-Cups,NOUN,Freedom-Cups
ist,AUX,sein
„,PUNCT,--
Rassismus,NOUN,Rassismus
und,CCONJ,und
Antisemitismus,NOUN,Antisemitismus
“,PUNCT,--
.,PUNCT,--
Hierzu,ADV,hierzu
wird,AUX,werden
es,PRON,es
verschiedene,ADJ,verschieden
Aktionen,NOUN,Aktion
geben,VERB,geben
",",PUNCT,--
um,SCONJ,um
auf,ADP,auf
diese,DET,dieser
Themen,NOUN,Thema
aufmerksam,ADV,aufmerksam
zu,PART,zu
machen,VERB,machen
.,PUNCT,--
Zum,ADP,zu
Beispiel,NOUN,Beispiel
wird,AUX,werden
es,PRON,es
einen,DET,ein
Workshop,NOUN,Workshop
von,ADP,von
der,DET,der
Initiative,NOUN,Initiative
“,PUNCT,--
Culture,X,Culture
on,X,--
the,X,--
Road,X,Road
”,PUNCT,”
geben,VERB,geben
",",PUNCT,--
bei,ADP,bei
dem,PRON,der
ein,DET,ein
Experte,NOUN,Experte
aus,ADP,aus
der,DET,der
Fanszene,NOUN,Fanszene
über,ADP,über
„,PUNCT,--
die,DET,der
aktive,ADJ,aktiv
Fanszene,NOUN,Fanszen
und,CCONJ,und
Rassismus,NOUN,Rassismus
“,PUNCT,--
erzählt,VERB,erzählen
und,CCONJ,und
dieses,DET,dieser
kindgerecht,NOUN,Kindgerecht
vermittelt,VERB,vermitteln
.,PUNCT,--
Ziel,NOUN,Ziel
des,DET,der
Freedom-Cups,NOUN,Freedom-Cups
ist,AUX,sein
es,PRON,es
eine,DET,ein
Mischung,NOUN,Mischung
aus,ADP,aus
Fußballturnier,NOUN,Fußballturnier
und,CCONJ,und
Kultur,NOUN,Kultur
zu,PART,zu
erreichen,VERB,erreichen
und,CCONJ,und
ein,DET,ein
gewisses,ADJ,gewiß
Grundverständnis,NOUN,Grundverständnis
für,ADP,für
das,DET,der
Thema,NOUN,Thema
Freiheit,NOUN,Freiheit
bei,ADP,bei
den,DET,der
Teilnehmenden,NOUN,Teilnehmende
zu,PART,zu
entwickeln,VERB,entwickeln
.,PUNCT,--
Der,DET,der
Verein,NOUN,Verein
will,AUX,wollen
ein,DET,ein
Zeichen,NOUN,Zeichen
für,ADP,für
das,DET,der
Miteinander,NOUN,Miteinander
setzen,VERB,setzen
.,PUNCT,--
Außerdem,ADV,außerdem
wird,AUX,werden
eine,DET,ein
Tombola,NOUN,Tombola
",",PUNCT,--
Grill,PROPN,Grill
",",PUNCT,--
Torwand,NOUN,Torwand
und,CCONJ,und
viele,DET,vieler
weitere,ADJ,weit
tolle,ADJ,toll
Aktivitäten,NOUN,Aktivität
veranstaltet,VERB,veranstalten
.,PUNCT,--
Im,ADP,in
Auftrag,NOUN,Auftrag
Jüch,PROPN,Jüch
